ID,类别,名称,描述,强度（AI）,较强兵种ID,行动速率,获得机率,出兵称号影响,新建资金,新建所需技术,是否外壳,水边新建,攻击,防御,攻击半径,能否反击,能否被反击,斜向攻击,箭矢攻击,凌空攻击,近身攻击,只能在移动前攻击,建筑伤害系数,建筑反击承受率,计略范围,斜向计略,视野半径,斜向视野,伤兵概率,行动力,单一适性种类,平原适性,草地适性,森林适性,湿地适性,山地适性,水域适性,峻岭适性,荒地适性,沙漠适性,雪地适性,平原乘数,草地乘数,森林乘数,湿地乘数,山地乘数,水域乘数,峻岭乘数,荒地乘数,沙漠乘数,雪地乘数,受火伤率,势力编队上限,每个士兵每天消耗的粮草数,口粮天数,每补充1人所需的技巧点数,成军最小规模,一个单位规模所增加的攻击力,一个单位规模所增加的防御力,最大规模,能否升级,升级成的兵种ID,升级经验,每一百经验增加的攻击力,每一百经验增加的防御力,攻击默认,攻击目标,施展默认,施展目标,影响列表,资金上限,变换至兵种,最低统率(AI),新编条件
17,2,重骑,【骑兵进阶兵种：防御强化】【1000经验升级】,7,83 84 400 401 402 403 404 405 406 407 408,30,1,292,10000,400,false,false,140,1230,1,true,true,true,false,false,true,false,0.3,0.6,2,false,3,false,75,22,0,4,4,15,100,15,5,100,15,20,20,1.2,1.1,0.6,0.1,0.5,0.6,0.1,1,0.3,0.2,1,75,4,10,2,60,3,20,3000,true,83 84,1000,2,5,0,7,0,3,800 807 804 811 702 711,0,-1,50,
21,0,贼兵,由盗贼和流寇组成的部队，若获得足够的经验，攻防将大大的加强。,0,,15,0,-1,0,0,false,false,50,900,1,true,true,true,false,false,true,false,0.2,0.8,2,false,3,false,0,18,0,4,5,6,100,10,5,100,9,8,7,1,1,1,0.1,1,0.6,0.1,1,0.6,0.4,1,10000,0,0,0,2000,1,13,100000,false,-1,0,25,50,0,1,0,3,400,0,-1,0,
22,3,走舸,小型战船，最基本的水军。,1,23 24 25 500,20,0,293,1000,100,false,true,50,600,1,false,true,false,false,false,true,false,0.3,0.6,2,false,3,false,50,20,6,100,100,100,100,100,5,100,100,100,100,1,1,1,1,1,1,1,1,1,1,3,100,1,8,5,200,1,13,10000,false,-1,0,1,1,0,7,0,3,820 822 813,0,-1,30,
23,3,艨艟,小型而快速的战船。【相关技巧：研究艨艟】,3,24 25 500,20,0,293,2000,200,false,true,55,780,1,true,true,true,false,false,true,false,0.4,0.6,2,false,4,false,55,20,6,100,100,100,100,100,4,100,100,100,100,1,1,1,1,1,1,1,1,1,1,3,200,1,10,5,160,2,13,8000,false,-1,0,1,1,0,7,0,3,820 822 813 824 341 701,0,-1,50,
24,3,楼船,大型战船，以弓箭为主要攻击方式。【相关技巧：研究楼船】,5,25 500,25,0,293,10000,400,false,true,50,960,2,false,false,false,true,true,true,false,0.3,0,2,false,5,false,65,20,6,100,100,100,100,100,5,100,100,100,100,1,1,1,1,1,1,1,1,1,1,3,100,1,20,20,120,2,16,6000,false,-1,0,2,2,0,7,0,3,820 822 813 827 333 701,0,-1,60,
25,3,斗舰,大型战船，善于近距离搏斗，可以撞沉敌船。【相关技巧：研究斗舰】,7,500,35,0,293,15000,500,false,true,70,960,1,true,true,true,false,false,true,false,0.5,0.3,2,false,5,false,75,20,6,100,100,100,100,100,5,100,100,100,100,1,1,1,1,1,1,1,1,1,1,3,50,1,20,30,60,3,16,3000,false,-1,0,2,2,0,7,0,3,820 822 813 828 829 343 400 702 30002,0,-1,70,
28,3,运兵船,用来运输陆上部队的船只，战斗力不强。,0,,20,0,293,0,0,true,true,50,720,1,true,true,false,false,false,true,false,0.3,0.9,2,false,3,false,50,20,0,5,5,100,100,10,5,100,12,100,100,1,0.9,0.7,0.1,0.7,0.6,0.1,0.7,0.6,0.2,3,10000,1,15,0,300,2,13,15000,false,-1,0,1,2,0,1,0,3,808 827 330 701,0,-1,0,
29,3,运输兵,用来输送资金和粮草，可以渡河。,0,,10,0,-1,100,0,false,false,25,450,1,false,true,false,false,false,true,false,0.4,0.9,2,false,3,false,50,25,0,5,5,6,100,20,8,100,20,20,20,1,0.9,0.7,0.1,0.5,0.6,0.1,0.7,0.6,0.2,3,10000,1,200000,0,200,0,0,1000,false,-1,0,0,0,0,7,0,3,852,1000000,-1,0,
30,4,冲车,器械，善于近距离破坏建筑物。【相关技巧：研究冲车】,1,32 501,10,0,294,10000,200,false,false,60,720,1,false,true,false,false,false,true,false,4,0.5,2,false,4,false,45,15,0,5,6,15,100,20,5,100,20,20,16,1,1,0.6,0.1,0.4,0.6,0.1,1,0.2,0.2,3,100,1,5,0,600,2,18,6000,false,-1,0,1,1,4,7,0,3,340,0,-1,30,
31,4,井栏,器械，从远距离对部队造成强力杀伤。【相关技巧：研究井栏】,4,32 501,10,0,294,15000,400,false,false,50,720,4,false,false,true,true,true,false,false,0.4,0,2,false,5,false,55,15,0,5,6,15,100,20,5,100,20,20,20,1,1,0.6,0.1,0.6,0.6,0.1,1,0.2,0.2,3,100,1,6,0,200,3,19,4000,false,-1,0,2,1,0,7,0,3,808 834 330 331,0,-1,50,
32,4,投石车,器械，可以远距离破坏建筑物或杀伤部队。【相关技巧：研究投石】【2000经验升级霹雳车】,6,501,10,0,294,30000,500,false,false,75,720,3,false,false,false,false,true,false,false,6,0,2,false,5,false,65,15,0,5,6,15,100,20,5,100,20,20,20,1,1,0.6,0.1,0.7,0.6,0.1,1,0.2,0.2,3,50,1,6,0,75,3,20,3000,true,501,2000,3,1,4,7,0,3,332 401,0,-1,70,
50,0,大刀兵,【刀兵进阶兵种：攻击强化】【2000经验升级】,10,56 57,40,1,290,2000,200,false,false,77,970,1,true,true,true,false,false,true,false,0.4,0.5,2,false,3,false,65,20,0,4,5,6,100,6,5,100,9,9,10,1.1,1,1,0.2,1,0.6,0.2,1,0.6,0.4,1,75,2,7,1,120,4,17,6000,true,56 57,2000,4,4,0,7,0,3,806 801 700 6535,0,-1,65,
51,0,刀盾兵,【刀兵进阶兵种：防御强化】【2000经验升级】,10,58 59,35,1,290,2000,200,false,false,57,1120,1,true,true,true,false,false,true,false,0.5,0.4,2,false,3,false,65,18,0,4,5,6,100,6,5,100,9,9,10,1.1,1,1,0.2,1,0.6,0.2,1,0.6,0.4,1,75,2,7,1,120,3,20,6000,true,58 59,2000,3,5,0,7,0,3,806 801 701 7095,0,-1,65,
52,0,长戟兵,【戟兵进阶兵种：对骑强化】【2000经验升级】,10,60 61,35,1,290,1600,200,false,false,55,870,2,true,true,false,false,false,true,false,0.2,0.6,2,false,3,false,65,18,0,4,5,6,100,6,5,100,9,9,10,1.1,1.1,1,0.2,1,0.6,0.2,1,0.6,0.4,1,75,2,7,1,120,2,17,6000,true,60 61,2000,3,4,0,7,0,3,806 801 814 815 700,0,-1,65,
53,0,长刀兵,【戟兵进阶兵种：对步强化】【2000经验升级】,10,62 63,35,1,290,2000,200,false,false,55,870,1,true,true,true,false,false,true,false,0.3,0.6,2,false,3,false,65,18,0,4,5,6,100,6,5,100,9,9,10,1.1,1.1,1,0.2,1,0.6,0.2,1,0.6,0.4,1,75,2,7,1,120,2,17,6000,true,62 63,2000,3,4,0,7,0,3,810 811 806 801 808 809 700,0,-1,65,
54,0,长斧兵,【斧兵进阶兵种：整体强化】【2000经验升级】,10,54,25,1,290,2000,200,false,false,80,900,1,true,true,true,false,false,true,false,0.5,0.5,2,false,3,false,65,15,0,4,5,6,100,6,5,100,9,9,10,1.1,1,0.9,0.2,0.9,0.6,0.2,1,0.6,0.4,1,75,3,8,1,120,4,18,6000,true,64 65,2000,4,4,0,7,0,3,806 801 701,0,-1,65,
55,0,近卫兵,【剑兵进阶兵种：整体强化】【2000经验升级】,10,55,35,1,290,2000,200,false,false,60,890,1,true,true,true,false,false,true,false,0.3,0.5,2,false,3,false,65,20,0,4,5,6,100,6,5,100,9,9,10,1.1,1,1,0.2,1,0.6,0.2,1,0.6,0.4,1,75,2,6,1,120,3,18,6000,true,66 67 68,2000,3,4,6,7,0,3,806 801 401 700 711,0,-1,65,
56,0,神刀勇士,【大刀兵进阶兵种：攻击强化】,15,,40,1,290,5000,500,false,false,97,970,1,true,true,true,false,false,true,false,0.4,0.5,2,false,3,false,70,20,0,4,5,6,100,6,5,100,9,9,10,1.1,1,1,0.2,1,0.6,0.2,1,0.6,0.4,1,15,3,7,2,100,5,17,5000,false,-1,0,6,4,0,7,0,3,806 807 700 6535 30005,0,-1,80,
57,0,陷阵勇士,【大刀兵进阶兵种：机动强化】,15,,45,1,290,5000,500,false,false,77,970,1,true,true,true,false,false,true,false,0.5,0.5,2,false,3,false,70,20,0,3,4,6,100,6,5,100,9,9,10,1.1,1,1,0.2,1,0.6,0.2,1,0.6,0.4,1,15,3,7,2,100,4,17,5000,false,-1,0,5,5,0,7,0,3,806 807 701 6535 345,0,-1,80,
58,0,百战锐士,【刀盾兵进阶兵种：整体强化】,15,,35,1,290,5000,500,false,false,60,1150,1,true,true,true,false,false,true,false,0.6,0.4,2,false,3,false,75,18,0,4,5,6,100,6,5,100,9,9,10,1.1,1,1,0.2,1,0.6,0.2,1,0.6,0.4,1,15,3,8,2,100,4,22,5000,false,-1,0,4,6,0,7,0,3,806 807 702 7095 406 8570 5092,0,-1,80,
59,0,先登锐士,【刀盾兵进阶兵种：攻城强化】,15,,35,1,290,5000,500,false,false,77,1120,1,true,true,true,false,false,true,false,0.8,0.4,2,false,3,false,70,18,0,4,5,6,100,6,5,100,9,9,10,1.1,1,1,0.2,1,0.6,0.2,1,0.6,0.4,1,15,4,8,2,100,4,20,5000,false,-1,0,5,5,0,7,0,3,806 807 701 7097 372 5091 8553,0,-1,80,
60,0,长戟近卫,【长戟兵进阶兵种：对骑强化】,15,,35,1,290,5000,500,false,false,58,870,2,true,true,false,false,false,true,false,0.2,0.6,2,false,3,false,70,18,0,4,5,6,100,6,5,100,9,9,10,1.1,1.1,1,0.2,1,0.6,0.2,1,0.6,0.3,1,15,3,7,2,100,2,17,5000,false,-1,0,4,5,0,7,0,3,806 807 820 821 700 30007,0,-1,80,
61,0,待命之士,【长戟兵进阶兵种：防御强化】,15,,30,1,290,5000,500,false,false,55,1000,2,true,true,false,false,false,true,false,0.2,0.6,2,false,3,false,75,18,0,4,5,6,100,6,5,100,9,9,10,1.1,1.1,1,0.2,1,0.6,0.2,1,0.6,0.3,1,15,4,8,2,100,2,19,5000,false,-1,0,3,6,0,7,0,3,806 807 814 815 701 406 5092 30006,0,-1,80,
62,0,摧锋死士,【长刀兵进阶兵种：对步强化】,15,,35,1,290,5000,500,false,false,58,870,1,true,true,true,false,false,true,false,0.4,0.5,2,false,3,false,70,20,0,4,5,6,100,6,5,100,9,9,10,1.1,1.1,1,0.2,1,0.6,0.2,1,0.6,0.3,1,15,3,7,2,100,2,17,5000,false,-1,0,4,5,0,7,0,3,816 817 806 807 808 809 700 319,0,-1,80,
63,0,长刀虎士,【长刀兵进阶兵种：防御强化】,15,,30,1,290,5000,500,false,false,55,1000,1,true,true,true,false,false,true,false,0.4,0.5,2,false,3,false,75,18,0,4,5,6,100,6,5,100,9,9,10,1.1,1.1,1,0.2,1,0.6,0.2,1,0.6,0.3,1,15,4,8,2,100,2,19,5000,false,-1,0,3,6,0,7,0,3,810 811 806 807 808 809 701 406 5091 323,0,-1,80,
64,0,重斧禁卫,【长斧兵进阶兵种：防御强化】,15,,25,1,290,5000,500,false,false,80,1020,1,true,true,true,false,false,true,false,0.6,0.5,2,false,3,false,75,12,0,4,5,6,100,6,5,100,9,9,10,1.1,1,0.9,0.2,0.9,0.6,0.2,1,0.6,0.3,1,15,5,10,2,100,4,20,5000,false,-1,0,4,6,0,7,0,3,806 807 702 406 322 5092,0,-1,80,
65,0,巨斧力士,【长斧兵进阶兵种：整体强化】,15,,25,1,290,5000,500,false,false,85,960,1,true,true,true,false,false,true,false,0.6,0.5,2,false,3,false,75,15,0,4,5,6,100,6,5,100,9,9,10,1.1,1,0.9,0.2,0.9,0.6,0.2,1,0.6,0.3,1,15,5,10,2,100,5,19,5000,false,-1,0,5,5,0,7,0,3,806 807 701 323,0,-1,80,
66,0,敢死剑士,【近卫兵进阶兵种：暴击强化】,15,,40,1,290,5000,500,false,false,62,890,1,true,true,true,false,false,true,false,0.4,0.5,2,false,3,false,70,20,0,4,5,6,100,6,5,100,9,9,10,1.1,1,1,0.2,1,0.6,0.2,1,0.6,0.4,1,15,2,6,2,100,3,18,5000,false,-1,0,4,4,6,7,0,3,806 807 403 700 711 8551,0,-1,80,
67,0,宿卫虎士,【近卫兵进阶兵种：防御强化】,15,,30,1,290,5000,500,false,false,62,1000,1,true,true,true,false,false,true,false,0.4,0.5,2,false,3,false,75,20,0,4,5,6,100,6,5,100,9,9,10,1.1,1,1,0.2,1,0.6,0.2,1,0.6,0.4,1,15,2,6,2,100,3,20,5000,false,-1,0,3,6,6,7,0,3,806 807 401 702 711 406 5091 316,0,-1,80,
68,0,冒刃之士,【近卫兵进阶兵种：整体强化】,15,,35,1,290,5000,500,false,false,67,950,1,true,true,true,false,false,true,false,0.4,0.5,2,false,3,false,70,20,0,4,5,6,100,6,5,100,9,9,10,1.1,1,1,0.2,1,0.6,0.2,1,0.6,0.4,1,15,2,6,2,100,4,19,5000,false,-1,0,4,5,6,7,0,3,806 807 401 702 711 30005,0,-1,80,
70,1,强弓射手,【射手进阶兵种：攻击强化】【2000经验升级】,10,74 75,30,1,291,3000,200,false,false,77,840,2,true,false,true,true,true,true,false,0.2,0,2,false,4,false,62,18,0,4,5,6,100,5,5,100,9,9,10,1,1,1,0.4,1.2,0.6,0.2,1,0.7,0.4,1,75,1,7,1,120,3,15,6000,true,74 75,2000,4,4,0,7,0,3,814 815 804 805 6535,0,-1,65,
71,1,长弓射手,【射手进阶兵种：射程强化】【2000经验升级】,10,76 77,30,1,291,3000,200,false,false,60,840,3,true,false,true,true,true,true,false,0.2,0,2,false,5,false,62,18,0,4,5,6,100,5,5,100,9,9,10,1,1,1,0.4,1.2,0.6,0.2,1,0.7,0.4,1,75,1,7,1,120,2,15,6000,true,76 77,2000,3,5,0,7,0,3,814 815 804 805,0,-1,65,
72,1,擘张弩兵,【弩兵进阶兵种：整体强化】【2000经验升级】,10,78,30,1,291,3000,200,false,false,57,830,2,true,false,true,false,false,true,false,0.2,0,2,false,4,false,62,18,0,4,5,6,100,6,5,100,9,9,10,1.2,1.1,1,0.4,1.1,0.6,0.2,1,0.7,0.4,1,75,1,7,1,120,2,15,6000,true,78,2000,4,4,6,7,0,3,814 815 401 405,0,-1,65,
73,1,精装弩兵,【弩兵进阶兵种：攻击强化】【2000经验升级】,10,79,35,1,291,3000,200,false,false,75,780,2,true,false,true,false,false,true,false,0.2,0,2,false,4,false,62,18,0,4,5,6,100,6,5,100,9,9,10,1.2,1.1,1,0.4,1.1,0.6,0.2,1,0.7,0.4,1,75,1,7,1,120,2,14,6000,true,79,2000,5,3,6,7,0,3,814 815 402,0,-1,65,
74,1,羽林武射,【强弓射手进阶兵种：整体强化】,15,,30,1,291,5000,500,false,false,77,900,2,true,false,true,true,true,true,false,0.2,0,2,false,4,false,67,18,0,4,5,6,100,5,5,100,9,9,10,1,1,1,0.4,1.2,0.6,0.2,1,0.7,0.4,1,15,2,8,2,100,4,16,5000,false,-1,0,5,5,0,7,0,3,814 815 804 805 6535 30003,0,-1,80,
75,1,黑羽神射,【强弓射手进阶兵种：攻击强化】,15,,35,1,291,5000,500,false,false,85,840,2,true,false,true,true,true,true,false,0.2,0,2,false,4,false,67,18,0,4,5,6,100,5,5,100,9,9,10,1,1,1,0.4,1.2,0.6,0.2,1,0.7,0.4,1,15,2,8,2,100,4,15,5000,false,-1,0,6,4,0,7,0,3,814 815 804 805 6535 8552,0,-1,80,
76,1,落雁射手,【长弓射手进阶兵种：范围强化】,15,,30,1,291,5000,500,false,false,65,840,3,true,false,true,true,true,true,false,0.2,0,2,false,5,false,67,18,0,4,5,6,100,5,5,100,9,9,10,1,1,1,0.4,1.2,0.6,0.2,1,0.7,0.4,1,15,2,8,2,100,2,15,5000,false,-1,0,4,6,0,7,0,3,814 815 804 805 611 314,0,-1,80,
77,1,狙击射手,【长弓射手进阶兵种：攻击强化】,15,,35,1,291,5000,500,false,false,70,840,3,true,false,true,true,true,true,false,0.2,0,2,false,5,false,67,18,0,4,5,6,100,5,5,100,9,9,10,1,1,1,0.4,1.2,0.6,0.2,1,0.7,0.4,1,15,2,8,2,100,3,15,5000,false,-1,0,5,5,0,7,0,3,814 815 804 805 344,0,-1,80,
78,1,蹶张弩兵,【擘张弩兵进阶兵种：整体强化】,15,,30,1,291,5000,500,false,false,60,890,2,true,false,true,false,false,true,false,0.2,0,2,false,4,false,67,18,0,4,5,6,100,6,5,100,9,9,10,1.2,1.1,1,0.4,1.1,0.6,0.2,1,0.7,0.4,1,15,2,8,2,100,3,16,5000,false,-1,0,5,5,6,7,0,3,814 815 401 405 30014,0,-1,80,
79,1,连弩死士,【精装弩兵进阶兵种：攻击强化】,15,,35,1,291,5000,500,false,false,90,780,2,true,false,true,false,false,true,false,0.2,0,2,false,4,false,67,18,0,4,5,6,100,6,5,100,9,9,10,1.2,1.1,1,0.4,1.1,0.6,0.2,1,0.7,0.4,1,15,2,8,2,100,3,14,5000,false,-1,0,6,3,6,7,0,3,814 815 402 6530 30004,0,-1,80,
80,2,游骑兵,【轻骑进阶兵种：机动强化】【2000经验升级】,12,85 86,45,1,292,20000,500,false,false,140,1050,1,true,true,true,false,false,true,false,0.2,0.7,2,false,3,false,70,32,0,4,4,10,100,15,5,100,14,20,20,1.1,1.2,0.7,0.1,0.6,0.6,0.1,1.1,0.3,0.2,1,50,3,8,2,60,3,18,3000,true,85 86,2000,4,4,0,7,0,3,806 807 810 811 702 711,0,-1,70,
81,2,枪骑兵,【轻骑进阶兵种：整体强化】【2000经验升级】,12,87 88,40,1,292,20000,500,false,false,150,1100,1,true,true,true,false,false,true,false,0.2,0.7,2,false,3,false,70,28,0,4,4,10,100,15,5,100,14,20,20,1.1,1.2,0.7,0.1,0.6,0.6,0.1,1.1,0.3,0.2,1,50,3,8,2,60,4,19,3000,true,87 88,2000,3,5,0,7,0,3,806 807 810 811 702 710,0,-1,70,
82,2,弓骑兵,【轻骑进阶兵种：射程强化】【2000经验升级】,12,89 90,40,1,292,20000,500,false,false,140,1050,2,true,false,true,true,true,true,false,0.2,0.7,2,false,4,false,70,28,0,4,4,10,100,15,5,100,14,20,20,1.1,1.2,0.7,0.1,0.6,0.6,0.1,1.1,0.3,0.2,1,25,3,8,2,60,3,18,3000,true,89 90,2000,4,4,0,7,0,3,806 807 808 809 810 811 702,0,-1,70,
83,2,突击重骑,【重骑进阶兵种：防御强化】【2000经验升级】,12,91,30,1,292,20000,500,false,false,140,1400,1,true,true,true,false,false,true,false,0.3,0.6,2,false,3,false,75,20,0,4,4,16,100,16,5,100,15,20,20,1.2,1.1,0.6,0.1,0.5,0.6,0.1,1,0.3,0.2,1,25,5,10,2,60,3,23,3000,true,91,2000,2,7,0,7,0,3,806 813 810 817 702 711 406,0,-1,70,
84,2,长刀重骑,【重骑进阶兵种：整体强化】【2000经验升级】,12,92,30,1,292,20000,500,false,false,150,1300,1,true,true,true,false,false,true,false,0.3,0.6,2,false,3,false,75,20,0,4,4,16,100,16,5,100,15,20,20,1.2,1.1,0.6,0.1,0.5,0.6,0.1,1,0.3,0.2,1,25,5,10,2,60,4,21,3000,true,92,2000,3,6,0,7,0,3,806 813 810 817 702 711,0,-1,70,
85,2,游骑散骑,【游骑兵进阶兵种：整体强化】,18,,45,1,292,40000,500,false,false,150,1100,1,true,true,true,false,false,true,false,0.2,0.7,2,false,4,false,75,32,0,4,4,10,100,15,5,100,14,20,20,1.1,1.2,0.7,0.1,0.6,0.6,0.1,1.1,0.3,0.2,1,10,3,8,3,60,4,19,3000,false,-1,0,5,5,0,7,0,3,806 807 810 811 702 711 8561,0,-1,80,
86,2,义从胡骑,【游骑兵进阶兵种：适性强化】,18,,45,1,292,40000,500,false,false,140,1050,1,true,true,true,false,false,true,false,0.2,0.7,2,false,4,false,75,32,0,4,4,8,100,10,5,100,10,18,18,1.1,1.2,0.7,0.1,0.6,0.6,0.1,1.1,0.3,0.2,1,10,3,8,3,60,3,18,3000,false,-1,0,5,5,0,7,0,3,810 811 806 807 702 711 8561,0,-1,80,
87,2,车悬枪骑,【枪骑兵进阶兵种：对骑强化】,18,,40,1,292,40000,500,false,false,150,1100,1,true,true,true,false,false,true,false,0.2,0.7,2,false,4,false,75,28,0,4,4,10,100,15,5,100,14,20,20,1.1,1.2,0.7,0.1,0.6,0.6,0.1,1.1,0.3,0.2,1,10,3,8,3,60,4,19,3000,false,-1,0,4,6,0,7,0,3,806 807 810 811 808 809 702 710 8551,0,-1,80,
88,2,武卫骁骑,【枪骑兵进阶兵种：整体强化】,18,,40,1,292,40000,500,false,false,160,1150,1,true,true,true,false,false,true,false,0.2,0.7,2,false,4,false,75,28,0,4,4,10,100,15,5,100,14,20,20,1.1,1.2,0.7,0.1,0.6,0.6,0.1,1.1,0.3,0.2,1,10,3,8,3,60,5,20,3000,false,-1,0,4,6,0,7,0,3,810 811 806 807 702 710 30012,0,-1,80,
89,2,强弩突骑,【弓骑兵进阶兵种：武器强化】,18,,45,1,292,40000,500,false,false,140,1050,2,true,false,true,false,false,true,false,0.2,0.7,2,false,5,false,70,28,0,4,4,10,100,15,5,100,14,20,20,1.1,1.2,0.7,0.1,0.6,0.6,0.1,1.1,0.3,0.2,1,10,3,8,3,60,3,18,3000,false,-1,0,6,4,0,7,0,3,806 807 814 815 804 805 702 401 30001,0,-1,80,
90,2,神射飞骑,【弓骑兵进阶兵种：整体强化】,18,,45,1,292,40000,500,false,false,150,1100,2,true,false,true,true,true,true,false,0.2,0.7,2,false,5,false,70,28,0,4,4,10,100,15,5,100,14,20,20,1.1,1.2,0.7,0.1,0.6,0.6,0.1,1.1,0.3,0.2,1,10,3,8,3,60,4,19,3000,false,-1,0,5,5,0,7,0,3,804 805 806 807 814 815 702 30000,0,-1,80,
91,2,甲骑具装,【突击重骑进阶兵种：防御强化】,18,,28,1,292,40000,500,false,false,140,1550,1,true,true,true,false,false,true,false,0.3,0.6,2,false,4,false,80,20,0,4,4,16,100,16,5,100,15,20,20,1.2,1.1,0.6,0.1,0.4,0.6,0.1,1,0.3,0.2,1,10,6,12,3,60,3,26,3000,false,-1,0,2,9,0,7,0,3,806 813 810 817 702 711 406 5092 30012,0,-1,80,
