ID,姓,名,简要,演义,历史,剧本,势力颜色,兵种列表
10,,,袁术之姪（正史中为堂弟）。,袁术死後，为保护其棺及妻子逃向卢江的途中被杀死。玉玺也被夺取献给了曹操。,虽被袁术任命为丹阳太守，之後却被孙策赶走。在袁术死後放弃寿春投靠刘勋。,,52,0 1 2 29 30 
11,,,蜀国右将军。,讨好握有实权的黄皓，将前线的姜维召回，企图自己取而代之。可是却被刘禅以唯有姜维方能对抗邓艾为由而拒绝。,经过长年提升自己的功绩，在马忠调职後继为接班人，却被评为才能跟功绩皆不及马忠。在蜀灭亡时期曾和罗宪共守白帝城。,,52,0 1 2 29 30 
12,,,东汉司徒袁滂之子。後来为魏国官僚。,没有记载。,受到成为豫州刺史的刘备所推薦，被移师到淮河附近的袁术所任用。在袁术败给吕布被捕之後，曾被威胁书信辱骂刘备却毅然拒绝。吕布死後改仕曹操，对於屯田制的实施颇有贡献。曾经一时罹病而離开官场，回归之後曾任谏议大夫等高阶官职。在刘备死亡的误报传来，魏臣众集庆贺之时，曾受恩於刘备的袁涣並未加入庆贺行列。,,52,0 1 2 29 30 
13,,,袁绍次子，袁谭之弟，袁尚之兄。为甄氏之夫。,幽州刺史。护卫败给曹操的袁尚。在曹操供攻略幽州时，和袁尚一起逃亡投靠辽西的乌丸。在曹操进攻乌丸时，则转而投靠辽东的公孙康，却惨遭公孙康的暗算，同袁尚皆被斩首送给了曹操。,乌丸的蹋顿特别为了援救袁熙，和曹操一战。,,52,0 1 2 29 30 
14,,,後改名为艳，为韩遂的女婿。,没有记载。,年少时就加入韩遂，和马腾一战中大勝了马超。２０９年，以韩遂的使者身份前访曹操，返回後说服韩遂归顺曹操却未被接受。２１１年，阻止韩遂跟马超联手出兵未果，在马超败逃後，和韩遂一起进入金城。韩遂为断绝他与曹操之间的关係，将自己的么女许配成婚。不料最後还是攻打韩遂，投向了曹操军。,,52,0 1 2 29 30 
15,,,东汉上谷太守阎志之弟。,没有记载。,年少时曾被乌丸、鲜卑俘虏，却反而得到他们的信任。得到鲜卑的帮助和公孙瓒对抗。在官渡一战後臣服曹操，对曹操讨伐乌丸颇有贡献。受到曹操如亲生兒子曹丕一样的对待，在曹丕登基之後随即成为度辽将军。,,52,0 1 2 29 30 
16,,,袁绍的堂弟（一说为異母弟），为四世三公的名门。,曾被何进所重用，何进被宦官暗杀後，联合袁绍一同屠杀宦官。在董卓势力抬头时逃往南阳，参加反董卓联盟。後移往淮南，拿著孙策让给的玉玺自称为皇帝。由於恶政而失去民心，靠著袁绍北上之际受到刘备攻击，吐血而亡。,何进死後立即欲染指帝位，和企图拥立刘虞为帝的袁绍对立。虽然和公孙瓒、陶谦和孙坚等人联合，却在匡亭被袁绍派的曹操所败，逃亡扬州。,,4,0 1 2 29 30 
17,,,袁绍三子，为袁谭、袁熙之弟。母亲为刘氏。,容貌出色，受到袁绍的宠爱。袁绍死後被审配、逢纪拥立成为继承者。和长兄袁谭对立，在对曹操一战中，袁谭和曹操联手，於是靠著次兄袁熙逃往幽州。在曹操北上时，依靠辽西的乌丸、辽东的公孙康企图东山再起。不料却被畏惧於曹操的公孙康所伐，将他和袁熙的首级一同献给了曹操。,在邺城遭到曹操包围时，拒绝了所提出的劝降。企图夺取公孙康的兵力，却反遭袭击。,,3,0 1 2 29 30 
18,,,袁术的堂兄（一说为亲兄），为四世三公的名门，曹操之友。,曾被何进重用，在何进被宦官暗杀後，开始屠杀宦官。当董卓掌握实权後逃往渤海，响应曹操的呼籲並成为反董卓联盟的盟主。在联盟解散後，从同联盟的韩馥手中夺取冀州，打倒公孙瓒後支配河北地方。虽一时获得了最大势力，却在官渡之战大败给曹操。企图復权而发动的仓亭之战却又败北，便在未决定後继者的情况下病死。,企图和韩馥推举刘虞即位却被拒绝。並也拒绝了郭图拥护献帝的提案。,,3,0 1 2 29 30 
19,,,袁术的幕僚。,在袁术意图自立为帝时，以「至於文王，三分天下有其二，犹以服事殷」的周文王的故事劝谏。然而袁术却相信「代汉者，当塗高也（字公路，和「途」的意思相应）」的民间说法，並未聽从劝谏。,１９５年，献帝被李傕等人追赶，袁术企图谋篡皇位之际，於是提出周文王的故事劝谏。但於１９７年，袁术仍以瑞兆降临为由而自命为帝。,,52,0 1 2 29 30 
20,,,袁绍长子，袁熙、袁绍之兄。,青州刺史。袁绍死後兄弟一同对抗曹操，却为了争夺继承者之位和袁尚对立。屈於劣势时曾向刘表请求援军遭拒，而向曹操投降。但却擅自夺取被曹操赶跑的袁尚领地，激怒了曹操驱使进攻南皮。再次提出投降却遭拒，在準备出击时为曹洪所讨。,受到刘备的推薦下成为茂才。在投降曹操後，其女和曹操之子曹整成亲。在南皮之战中遭到曹纯讨伐。,,3,0 1 2 29 30 
21,,,张鲁的幕僚。,向张鲁进言夺取蜀汉自立为王。在刘璋遭受刘备进攻之时，劝谏张鲁答应刘璋的援军要求。汉中受到曹操攻击时和庞德抗战，制止了受贿而欲屈於曹操军的杨松。但最後却未能阻止聽从杨松提案的张鲁而败北。遂同张鲁降於曹操。,曹丕即位後爵位跟领地受增，但却在约十年後病死。,,52,0 1 2 29 30 
22,,,袁术之子。,没有记载。只记载袁术死後，袁术的家人由袁胤率领逃往庐江，但在中途遭杀害。,袁术死後，在袁胤的带领下投靠刘勋，而在刘勋败给孙策後成为俘虏。袁术之女进入孙权的後宫後被任命为郎中。,,52,0 1 2 29 30 
23,,,刘表的武将。,在蔡瑁图谋暗杀刘备时，和文聘共担引赵雲離开刘备的任务。刘表死後，在刘琮打算投降曹操之时，献上在曹操入城时予以奇袭的策略，却不被接受。陪同刘琮前往青州赴任时，在途中被曹操所命的于禁所讨。,曾向刘琮进言，趁曹操南下大意时杀了他，却没有被採用。没有同刘琮一起被杀害的记载。,,52,0 1 2 29 30 
24,,,赵昂之妻。原为益州刺史赵伟璋之妻。,在马超杀死韦康夺取冀城之後，姜叙、杨阜、尹奉等人计劃讨伐马超。对於因担心马超阵营中的兒子赵月而迟迟无法下决心参加的丈夫，谏言为旧主韦康復仇的一事较重要。在姜叙等人举兵出征时，投下私产以慰劳士兵。在马超袭击历城之际，尹奉和赵昂一族皆被杀害，而从军的王異却逃过一劫。,智谋过人，在赵昂所提出的策略中也都有参与。投资慰劳防禦马超攻击的冀城士兵。,,52,0 1 2 29 30 
25,,,东汉司徒。被誉为「一日千里，王佐之才也」的名士。,在董卓掌握实权後不久，曾赠与七星宝刀给志願暗杀董卓的曹操。在董卓的恶政为人无所忍受时，策劃了利用貂蝉的美女连环计。挑拨董卓的心腹吕布，使其杀了董卓。之後，为了替董卓復仇的李傕等人举兵攻入时，拒绝了吕布的劝告留在长安，一族皆被杀光。,参加镇压黄巾黨，虐杀宦官计劃。拉拢吕布却不使用美人计。甚至还处死感叹董卓死亡的蔡邕。展现種種无情的一面。,,52,0 1 2 29 30 
26,,,魏之武将。历任安平太守、荆州刺史等职。,是聽到管辂的评價並使其占卜的人物之一。在司马师讨伐毌丘俭时以监军身份同行。提议制服毌丘俭之前应先压制南顿城，使战局导向有利。之後为镇南将军，也参与司马昭讨伐诸葛诞之行。击破朱異、唐咨攻进寿春城，镇压了叛乱。,琅邪留学归回後，服侍王淩。劝谏曹叡建造宫殿。当曹芳即位，曹爽掌握实权时，著有「时要论」批判时代倾向。,,52,0 1 2 29 30 
27,,,魏国天水太守。,曾参加邓艾讨伐蜀国之行。和牵弘设置伏兵大破诸葛瞻，攻陷绵竹。在邓艾压制成都之後，和牵弘同被封为益州各郡的太守。,参加毌丘俭的东方远征，並历任东方诸郡的太守。此外，曾受和邻国纷争的倭国女王卑弥呼的邀请，促使两国和解。,,52,0 1 2 29 30 
28,,,东汉河内太守。,响应曹操呼籲反董卓联合的诸侯之一。在军事会议上提议应该立谁为盟主，最後是袁绍担任。担任攻打虎牢关的先锋，但大将方悦却被吕布所杀，陷於窘困之际为桥瑁和袁遗所救。,以乐善好施闻名，被何进招揽旗下。在败给董卓之後，回到泰山和张邈会合，最终被曹操所杀。,,52,0 1 2 29 30 
29,,,魏国之臣。,与王经、王沈三人受到曹髦提出暗杀司马昭的计劃。三人一同欲向司马昭通报，但王经不从，最後和王沈两人投诚。因此，曹髦和王经遭到杀害。,之後成为晋的中护军。,,52,0 1 2 29 30 
30,,,魏国雍州刺史。为平民出身的名士。,２５５年，北伐姜维失败被包围在狄道城时，得到陈泰和邓艾的救援。劝阻曹髦提出的司马昭暗杀计劃，但曹髦並不聽劝。後因拒绝与王业、王沈一同投诚司马昭，而和母亲一同被捕。其母笑说终於死得其所後，二人便遭处刑並满门抄斩。,曾受崔林提拔。母亲曾对他说出头太快並不吉利，但仍然继续升进。被处刑的只有王经，母亲平安无事。,,52,0 1 2 29 30 
31,,,蜀国永昌太守。,当孟获跟雍闓、高定、朱褒联手反叛蜀国时，因步调不同而遭包围。在诸葛亮前来救援之前，和吕凯死守城门，使诸葛亮赞誉有加。,於雍闓的反叛平定後，诸葛亮赞其「执忠绝域，十有餘年」，並封为永昌太守。,,52,0 1 2 29 30 
32,,,王昶之子。王沈的堂兄弟。仕於魏国、晋国。,晋国侍中。在王濬上书讨伐吴国时，进言应该再观察一年等待吴国疲弊扩大。当司马炎决心讨伐吴国时被任命为安东大将军，沿长江进军而下。,在吴国讨伐战中杀死张悌、沈莹，和王濬互争功绩。晋升到司徒，其一族也都就任高官。,,52,0 1 2 29 30 
33,,,建安七子之一。曾祖父、祖父皆为三公的名门之後。应玚、孔融、王粲、陈琳、徐幹、阮瑀、刘桢齐名，号“建安七子”,年纪轻轻才能就受到蔡邕评價。为了避开战乱前往荆州依靠刘表。在刘表死後刘琮继位时，和傅巽同主张向曹操投降。侍奉之後对曹操感到敬佩万分，在铜雀台落成时还咏唱了称赞曹操的诗。之後和杜袭、卫凯、和洽欲拥立曹操为魏王，却被荀攸阻止。,相貌不出众，身體贫弱加上大而化之的个性，並不受刘表重用。在魏建国後成为侍中。记忆力过人，致力於朝廷的旧制度復兴以及奏议起草。,,52,0 1 2 29 30 
34,,,袁家之臣，後侍奉曹操。,袁绍死後，因劝谏企图谋杀袁尚的袁谭而遭解职。当袁谭被曹操所杀後，打破禁令对袁谭表示哀悼。被曹操任命为司金中郎将。,在侍奉北海太守孔融後，为袁绍、袁谭臣子。侍奉曹操後以魏郡太守立下功绩。魏建国後成为大司农郎中令，死於任职期间。,,52,0 1 2 29 30 
35,,,王浑（和玄冲不同人）之子。为竹林七贤的最年少者。,晋国建威将军。参与２７９年的吴国讨伐战。进军武昌，和先进入石头城的王濬会合。,年少时就发挥他不输给大人的聪明才智。因锺会的推薦受到司马懿重用。历任河东太守、荆州刺史等职。在晋惠帝时成为司徒。不过並不关心政务只执著於自己的利益。,,52,0 1 2 29 30 
36,,,王朗之子，魏国黄门侍郎。,２３０年上奏劝退进攻蜀国因大雨而身陷苦战的曹真和司马懿。毌丘俭反叛时，提出善待反叛军的家族以降低士气的策略（吕蒙讨伐关羽时所用）给司马师。司马师死後，向曹髦进言封司马昭爵位。其女嫁给司马昭为妻，生下司马炎、司马攸。,１８岁时从宋忠学习「太玄经」。历任广平太守、侍中、太常等。反郑玄学说为「尚书」「诗经」等加注解，並仿作「孔子家语」。,,52,0 1 2 29 30 
37,,,晋国益州刺史。,陆抗死後，上奏讨伐吴国。２７９年，吴国讨伐战时受任龙骧将军，同唐彬从益州沿长江而下进攻。吴国的岑昏为了防止晋军的舰队，在水中设置了铁锥，却遭筏子作战所破壞。在石头城击败张象，降服了孙皓。之後和杜预、司马[0xFA][0x40]等人会合完全平定吴国，因此功绩而受封为辅国大将军。,於吴国讨伐战中和王浑互争功绩。,,52,0 1 2 29 30 
38,,,魏国太尉。为二十四孝之一，留下了卧冰求鲤的故事。,目送邓艾和锺会出发讨伐蜀国的其中一人。同时，从刘寔聽到邓艾和锺会可能无法活著回来的预言。在司马昭为了选择继承人而困惑之时，进言说不要破壞长幼有序的伦理，於是司马昭选择了司马炎。,为了避开东汉末期的动乱，和母弟一起移往庐江隐居三十多年。在母亲死後，受到吕虔的邀请出仕。在曹髦掌权的时候就任光禄勋、司空。因为讨伐毌丘俭的功劳被认命为太常。在晋朝司马炎的时候被任命为太保。,,52,0 1 2 29 30 
39,,,东汉末在长沙举兵反叛。,黄巾之乱被平定後，十常侍的专横暴政至極时，於长沙举兵。被假帝诏之十常侍命令前来讨伐的孙坚，在50天内镇压。,自称将军，以一万多的兵力包围长沙。但被任命为长沙太守的孙坚，以不到一个月的时间镇压此乱。,,52,0 1 2 29 30 
40,,,魏国武将。身高九尺，操使60斤的大剃刀、内含铁芯的弓箭以及流星锤的猛将。和参加曹仁的进攻濡须而败给朱桓的王双是不同人。,在诸葛亮的第二次北伐，曹真向曹叡的推薦而受到提拔。攻击包围陈仓的蜀军，击败谢雄、龚起，並使张嶷身负重伤。虽然蜀军从陈仓撤退後给予追击，却被魏延给砍死。,在诸葛亮的第二次北伐中，率领骑兵攻击因为粮食耗尽而撤退的诸葛亮军，战死。,,52,0 1 2 29 30 
41,,,曹操的武将。,同刘岱攻击佔领徐州的刘备。关羽被捕但刘备却被释放，受委託前去和曹操斡旋。返回许昌时虽险被盛怒的曹操处死，由於孔融的助言，只被剥夺爵位和俸禄而留下一命。,攻击守护荆州的娄圭後，归顺曹操。年轻时曾经过著挨饿受苦的日子，这些事情被曹丕聽到，便成为日後被嘲笑的题材。,,52,0 1 2 29 30 
42,,,王浑之父，魏国征南大将军。,２５２年，在司马昭趁孙权死去向吴国进攻时，担任攻击江陵方面。因友方的胡遵被丁奉打败而撤退。,和王淩並称名士，视王淩为兄跟随在侧。为曹丕的太子文学，在曹丕即位後从事开拓荒地，升为兖州刺史。当曹叡下达推举人才的诏令时，被司马懿所推举。因为镇压毌丘俭的反叛而被封为骠骑将军，而後担任司空。提倡法律制度的宽容化，並且著作「治论」和「兵书」等书。,,52,0 1 2 29 30 
43,,,司马昭的参谋。,２５３年，跟随司马昭在铁龙山和姜维对战。因受包围导致缺水时，以东汉的耿恭曾经祈祷得水的故事向司马昭进言。司马昭祈祷後果然湧出泉水，逃过一劫。,没有记载。,,52,0 1 2 29 30 
44,,,吴国武将。,以被孙綝杀死的人物其一之名登场。,２１９年孙权被曹操任命为荆州牧，向皇帝準备进贡品时，受命购买马匹。２５６年，孙虑因为不受孙綝重用，想与其共谋诛杀孙綝一事，不料被察觉而遭杀害。孙虑最後也服毒而死。,,52,0 1 2 29 30 
45,,,蜀国武将。原为魏国牙门将。,在汉中攻防战中为徐晃的副先锋，却因与徐晃不和而向蜀军投降。之後，参加南蛮讨伐战及诸葛亮的北伐。在街亭之战受命为马谡的辅佐，未能劝阻独自行动的马谡。在诸葛亮的遗言中，列为忠义之士中之一人。,原名何平。在街亭的撤退战防止了敌军的追击，是诸多降格的将领中唯一升级的人。在讨伐反叛的魏延後，历任汉中太守、前将军、镇北大将军，负责汉中方面的防守。,,52,0 1 2 29 30 
46,,,蜀国武将，关羽的随军司马。,奉关羽的命令在长江沿岸建造狼烟台，以防吕蒙的袭击。荆州被吕蒙夺走後，和关羽同困在麦城。在关羽父子企图脱逃之际，同周仓留在麦城。得知关羽父子死亡时，便拒降而自刎。,在刘璋的时代，任州的书佐。在夷陵之战时从军，战败而亡。是喜好评论以及议论人物的人。,,52,0 1 2 29 30 
47,,,公孙瓒的武将。,没有记载。,背著公孙瓒向袁绍示好。率领一万余兵攻击公孙瓒，因论辩输给田予而撤军。从这件事公孙瓒了解到田予優秀的临機应变能力，却没有任用他。,,52,0 1 2 29 30 
48,,,东汉司徒·王允的姪子。和司马朗、贾逵交情良好。,没有记载。,在王允被李傕杀害时脱逃返回故乡。受曹操任用进入了丞相府，曹丕即位後成为兖州刺史。同张辽因牵制孙权而立下功绩，以征东将军活跃於对吴战线。２４１年，击败入侵芍陂的全琮成为司空，司马懿打倒曹爽时晋升为太尉。和兖州刺史的姪子冷孤愚共谋废曹芳，拥立楚王曹彪。被发觉投降後，饮毒而死。並处以连诛三族之刑。,,52,0 1 2 29 30 
49,,,刘璋的从事。,强烈反对张松迎接刘备的策略。而並未聽劝的刘璋前往涪城迎接刘备时，王累便倒吊在城门上以死劝谏。但还是未能阻止刘璋，於是就自断绳索而亡。,只记载反对迎接刘备，於是倒吊城门上以劝谏刘璋一事。,,52,0 1 2 29 30 
50,,,王肃之父，东汉会稽太守。,同严白虎和孙策对战而败，之後改仕曹操。曹丕当权时任御史大夫，和华歆等人要胁献帝让位。因此份功绩成为司空，在曹叡掌权时当上司徒。诸葛亮北伐中夏侯楙败北时，推薦曹真並且自己也从军。在打头阵和诸葛亮展开论战时败北，气愤而死。,通经书，曾被陶谦招揽成为会稽太守。被曹操招揽後，从曲阿往返长江和大海之间，花费数年时间才上京。並未记载随曹真从军与诸葛亮论战败北一事，而是终寿正寝。,,22,0 1 2 29 30 
51,,,温恕之子，温生之父。为魏国之臣。,没有记载。,被推举为孝廉，以地方官立下功绩。曹操从赤壁之战归来之际成为扬州刺史，和蒋济、张辽、乐进等人在合淝地方共防孙权军。２１９年孙权进攻合淝时，比起自己的防卫地区更先警戒关羽的北上，最後就如同所预料的。曹丕即位後，为侍从、魏郡太守。之後任凉州刺史，但在赴任途中病倒，含恨而死。,,52,0 1 2 29 30 
52,,,东汉大将军·何进之孙，曹爽的心腹。,曹叡死後曹芳掌权，就向曹爽进言夺取司马懿的政权。在曹爽政权下当上尚书，却被管辂看穿其死期将至。司马懿讨伐曹爽夺下政权後，被逮捕並以谋反罪处死。,母亲尹氏为曹操的侧室，所以是在魏的宫廷中成长。可是不被曹丕和曹叡所喜而未受到重用。是个清谈家喜欢老莊思想，著有「老子道德论」等为玄学的代表者。「论语集解」也是何晏的著作。,,52,0 1 2 29 30 
53,,,蒯良之弟，刘表的幕僚。通晓观马相术。,应袁绍的要求，同蔡瑁準备偷袭藏有玉玺的孙坚，却被孙坚给脱逃。在刘备让出的卢给刘表之际，曾进言这是不吉的象徵务请退还。之後，也参与蔡瑁的暗杀刘备计劃。刘表死後看出曹操南下的行动，於是对继承者刘琮进言投降。並对曹操说与其得到荆州，不如得到蒯越有利。,曾为刘表所问何谓统治策略时回答说，平时要将仁爱道义放在第一，但在乱世谋策也是必要的。侍奉曹操後，成为光禄勋。,,52,0 1 2 29 30 
54,,,蒯越之兄，刘表的幕僚。通晓观马相术。,在孙坚攻打荆州时，向刘表进言最好向袁绍请求援军。反对这个策略的蔡瑁出战失利後，强烈主张将其处刑。由天象看到将星陨落，就献计与吕公讨伐孙坚。当孙策提议拿人质的黄祖来交换孙坚的遗體时，进言即使对黄祖见死不救也要先攻下江东。可是，重用黄祖的刘表答应跟孙策交涉。,刘表为了镇压宗贼的军队聚集兵力时，提倡只有信义仁爱才是统治之道。,,52,0 1 2 29 30 
55,,,吴国武将。,赤壁之战结束後，立即同宋宪护卫出征合淝的孙权。刘备为了和孙权之妹成婚前往甘露寺时，奉孙权和吕範的命令派兵埋伏。準备如果吴国太不满意刘备的话，就砍下刘备的手，结果这件事被刘备察觉。反惹火了中意刘备的吴国太而差点被处刑，因刘备请命而逃过一劫。,没有记载。,,52,0 1 2 29 30 
56,,,吴国之臣，韦昭的好友。,蜀灭亡时，向孙休提议必须强化防禦的體制。当孙皓即位打算进攻晋时，主张与其出兵必须先以德治民。却惹火了孙皓被赶走，感叹「可惜啊，如此美的国土，不久也将成为别人的吧」。,文章学识受到相当的评價，在孙皓当权时担任右国史，和韦昭、薛莹等人共编撰「吴书」。劝谏孙皓的状书达百次以上，在韦昭被处刑时也抗议到最後。推举了众多人才。,,52,0 1 2 29 30 
57,,,贾习之孙，贾充之父。魏国谏议大夫。,曹操死後曾经建议曹彰，应该率领大军到京城取回兵权。之後成为豫州刺史负责戒备江东。在周鲂向曹休投降时，看穿以假投降引诱出曹休的计谋，但是曹休並未聽信。中计出征的曹休在石亭败北时，便假装伏兵埋伏，藉以阻止吴国的追击，救了曹休。,从祖父身上学习兵法。在曹操讨伐马超的时候，被提拔为弘农太守。之後，成为豫州刺史整顿运河，並在征讨吴国时在洞浦击败吕範。,,52,0 1 2 29 30 
58,,,黄巾武将。,和黄邵、何曼等人在汝南、潁川诸郡作乱。因为曹操军的进攻而逃走，被还是在野之士的许褚所捕，在许褚加入曹操军後被引渡，随後被斩首。,和刘辟、黄邵、何曼等人各自拥有数万兵力，接近袁术以及孙坚。１９６年，被曹操所攻，刘辟和黄邵皆被斩首，但只有何仪连同军队一起投降，而没有被斩首的记载。,,52,0 1 2 29 30 
59,,,东汉豫章太守。之後服侍孙策、曹操。,向进军江东的孙策投降。赤壁之战後，以孙权的使者派遣到曹操的手下，就这样被留下。之後，当伏完的曹操暗杀计劃曝光後，便奉曹操之命抓回伏皇后。在曹操死後，威胁献帝让位给曹丕。在曹叡时代成为太尉，褫夺有反叛嫌疑的司马懿的兵权。,孙策死後，被曹操所招，魏建国後历任御史大夫、司徒。在演义中是为皇帝皇后所使声名狼藉的恶人，但是在正史中是个拥有清廉人格的人。,,52,0 1 2 29 30 
60,,,李傕、郭汜的参谋。之後服侍张绣、曹操。,董卓死後，向李傕等人进言夺取长安拥立献帝。在夺回长安後为了献帝四处奔走，在献帝逃離长安之後成为张绣的部下。曾夜袭正对邹氏献殷勤的曹操等，多次让曹操军吃到苦头。在官渡之战前，说服张绣向曹操投降。在渭水之战中所策劃的離间计，成功地使马超和韩遂失和。在曹操苦恼於选择继承人之时，向曹操进言应该选择曹丕。在曹丕即位後成为太尉。,被阎忠评论为足以和张良、陈平匹敌的策士。,,52,0 1 2 29 30 
61,,,魏国谋臣·郭嘉之子。,郭嘉死後，被引领到曹操府中。,在郭嘉病死之际便继承父亲之後。当上太子文学没多久後就死去。相识亲近的王昶评论其为「单纯，理解力强且博学。缺点是度量不够大，尊敬或轻蔑别人的状况非常極端。希望自己的兒子不要变得像这样」。不过裴松之却说王昶的批评太过偏颇，並说将友人的恶评流传後世是有反道义的行为。,,52,0 1 2 29 30 
62,,,袁尚的武将。,没有记载。,袁绍死後，被袁尚任命为河东太守。同高幹计劃攻略曹操军所在的平阳，尚未渡过汾水就被锺繇和马超（被张既说服的马腾所派遣）攻打，被庞德斩首。,,52,0 1 2 29 30 
63,,,曹操的参谋，郭奕之父。,经由程昱的推举服侍曹操，而自己也推举了刘晔。在刘备投靠曹操，对於荀彧和程昱向曹操进言斩首刘备一事时，晓谕如果将刘备斩首将会失去人心。官渡之战前，向曹操说明有战勝袁绍的十个勝因，劝曹操在进攻袁绍之前先讨伐吕布。之後也预言了孙策的早逝，以及正确地看穿了袁尚的灭亡，不过却在袁尚讨伐战的途中病倒。赤壁之战失败後，曾令曹操感叹若是有郭嘉在，就不会如此一败塗地。,以谋臣·戏志才的继承者被荀彧推举。,,52,0 1 2 29 30 
64,,,高定旗下的猛将。身高九尺，擅使方天戟。,担任参与雍闓反叛作战的高定的先锋，魏延、张翼、王平三人合力才将其活捉。被诸葛亮释放後向高定说明诸葛亮的情义，却因鄂焕的生还，使雍闓懷疑高定和诸葛亮串通。鄂焕就用察知此事的高定的命将雍闓诱出击败，同时也打倒加入反叛的朱褒。向蜀军投降後，担任牙门将军。,没有记载。,,52,0 1 2 29 30 
