ID,名称
1100,部队武勇达到若干
1105,部队武勇小于若干
1110,部队统率达到若干
1115,部队统率小于若干
1120,部队智谋达到若干
1125,部队智谋小于若干
1130,部队暴击几率达到若干
1135,部队暴击几率小于若干
1140,部队抗暴几率达到若干
1145,部队抗暴几率小于若干
1150,部队暴击致乱几率达到若干
1155,部队暴击致乱几率小于若干
1160,部队抗围几率达到若干
1165,部队抗围几率小于若干
1170,部队围攻致乱几率达到若干
1175,部队围攻致乱几率小于若干
1180,部队计略成功几率达到若干
1185,部队计略成功几率小于若干
1190,部队计略抵抗几率达到若干
1195,部队计略抵抗几率小于若干
1200,部队计略致乱几率达到若干
1205,部队计略致乱几率小于若干
1210,部队伤兵与正常兵力之比例达到若干
1215,部队伤兵与正常兵力之比例小于若干
1220,部队规模达到若干
1225,部队规模小于若干
1230,士兵数量达到若干
1235,士兵数量小于若干
1240,部队处于友军建筑视野内
1241,部队不处于友军建筑视野内
1242,部队处于非友军建筑视野内
1243,部队不处于非友军建筑视野内
1244,部队视野内包含目标建筑
1245,部队视野内不包含目标建筑
1246,周边八格内包含目标建筑
1247,周边八格内不包含目标建筑
1248,攻击范围内包含目标建筑
1249,攻击范围内不包含目标建筑
1250,周边八格内友军数量达到若干
1255,周边八格内友军数量小于若干
1260,周边八格内非友军数量达到若干
1265,周边八格内非友军数量小于若干
1270,视野内友军数量达到若干（包括自身）
1275,视野内友军数量小于若干（包括自身）
1280,视野内敌军数量达到若干
1285,视野内敌军数量小于若干
1290,目标建筑是空城
1291,目标建筑不是空城
1292,目标建筑属于友方
1293,目标建筑不属于友方
1294,目标建筑耐久为0
1295,目标建筑耐久不为0
1296,目标建筑为指定ID
1297,目标建筑不为指定ID
1300,部队兵种是某类别
1310,部队兵种是某种
1350,部队兵种不是某类别
1360,部队不是某兵种
1400,部队处于战斗状态
1401,部队不处于战斗状态
1402,部队在城上
1403,部队在己方城上
1404,部队在敌方城上
1410,队长勇猛度大于冷静度
1411,队长勇猛度等于冷静度
1412,队长勇猛度小于冷静度
1413,队长勇猛度大于等于冷静度
1414,队长勇猛度小于等于冷静度
1420,部队处于友军建筑内
1421,部队不处于友军建筑内
1422,部队处于非友军建筑内
1423,部队不处于非友军建筑内
1424,在某建筑ID的视野范围内
1425,不在某建筑ID的视野范围内
1500,视野内处于某地形的友军数量达到若干（包括自身）
1510,视野内处于某地形的友军数量小于若干（包括自身）
1520,视野内处于某地形的非友军数量达到若干
1530,视野内处于某地形的非友军数量小于若干
1540,部队在某地形上
1550,部队不在某地形上
1600,部队里有势力君主
1601,部队里没有势力君主
1602,部队队长为势力君主
1603,部队队长不是势力君主
1604,部队追随将领为势力君主
1605,部队追随将领不为势力君主
1630,部队在某势力
1635,部队不在某势力
1640,队长为指定武将ID
1645,队长不为指定武将ID
1650,部队所属君主为指定武将ID
1655,部队所属君主不为指定武将ID
1700,部队疲累度达到若干
1705,部队疲累度少于若干
1720,追随队长在某建筑
1725,追随队长不在某建筑
1730,追随队长在某势力
1735,追随队长不在某势力
1740,追随队长为指定武将ID
1745,追随队长不为指定武将ID
1840,指定武将ID在部队中
1845,指定武将ID不在部队中
2000,势力内其中若干个武将武勇达到若干
2005,势力内其中若干个武将武勇少于若干
2010,势力内其中若干个武将统率达到若干
2015,势力内其中若干个武将统率少于若干
2020,势力内其中若干个武将智谋达到若干
2025,势力内其中若干个武将智谋少于若干
2030,势力内其中若干个武将政治达到若干
2035,势力内其中若干个武将政治少于若干
2040,势力内其中若干个武将魅力达到若干
2045,势力内其中若干个武将魅力少于若干
2100,建筑农业为若干程度满
2105,建筑农业不多于若干程度
2110,建筑商业为若干程度满
2115,建筑商业不多于若干程度
2120,建筑技术为若干程度满
2125,建筑技术不多于若干程度
2130,建筑统治为若干程度满
2135,建筑统治不多于若干程度
2140,建筑耐久为若干程度满
2145,建筑耐久不多于若干程度
2150,建筑民心为若干程度满
2155,建筑民心不多于若干程度
2160,建筑人口为若干程度满
2165,建筑人口不多于若干程度
2200,建筑农业达到若干
2205,建筑农业少于若干
2210,建筑商业达到若干
2215,建筑商业少于若干
2220,建筑技术达到若干
2225,建筑技术少于若干
2230,建筑统治达到若干
2235,建筑统治少于若干
2240,建筑耐久达到若干
2245,建筑耐久少于若干
2250,建筑民心达到若干
2255,建筑民心少于若干
2260,建筑人口达到若干
2265,建筑人口少于若干
2270,资金达到若干
2275,资金少于若干
2280,粮草达到若干
2285,粮草少于若干
2300,建筑已兴建若干个某种设施
2305,建筑已兴建少于若干个某种设施
2310,美女总空间达到若干
2315,美女总空间少于若干
2320,后宫剩余空间达到若干
2325,后宫剩余空间少于若干
2330,妃子数目达到若干
2335,妃子数目少于若干
2340,设施空间达到若干
2345,设施空间少于若干
2350,设施剩余空间达到若干
2355,设施剩余空间少于若干
2360,设施数达到若干
2365,设施数少于若干
2400,武将数达到若干
2405,武将数少于若干
2410,在野武将数达到若干
2415,在野武将数少于若干
2500,是前线
2501,不是前线
2510,兵力达到若干
2515,兵力少于若干
2520,兵力规模达到若干
2525,兵力规模少于若干
2530,编队数量达到若干
2535,编队数量少于若干
2540,某兵种编队达到若干
2545,某兵种编队少于若干
2600,建筑正发生天灾
2601,建筑没有发生天灾
2610,建筑正发生某项天灾
2620,建筑没有发生某项天灾
2700,建筑为某建筑种类
2705,建筑不为某建筑种类
2710,建筑正在交战
2711,建筑没有在交战
2712,建筑视野范围内的己方部队不少于敌方部队
2713,建筑视野范围内的敌方部队不少于己方部队
2714,建筑内有敌方部队
2715,建筑内没有敌方部队
2720,建筑视野范围内有达到若干支己方部队
2725,建筑视野范围内有达到若干支敌方部队
2730,建筑视野范围内有少于若干支己方部队
2735,建筑视野范围内有少于若干支敌方部队
2740,建筑内有达到若干支己方部队
2745,建筑内有达到若干支敌方部队
2750,建筑内有少于若干支己方部队
2755,建筑内有少于若干支敌方部队
2800,建筑中有指定武将ID所属
2805,建筑中没有指定武将ID所属
2810,建筑中有指定武将ID在野
2815,建筑中没有指定武将ID在野
2820,建筑中有指定武将ID为俘虏
2825,建筑中没有指定武将ID为俘虏
2830,建筑中有指定武将ID为妃子
2835,建筑中没有指定武将ID为妃子
2840,建筑中有君主
2845,建筑中没有君主
2900,指定建筑ID
2905,不为指定建筑ID
3000,势力拥有某技术
3005,势力没有某技术
3010,势力声望达到若干
3015,势力声望少于若干
3020,势力技巧点达到若干
3025,势力技巧点少于若干
3030,势力朝廷贡献度达到若干
3035,势力朝廷贡献度少于若干
3040,势力得到级别达到某官爵的爵位
3045,势力得到级别低于某官爵的爵位
3050,为异族
3051,不为异族
3060,拥有某基本兵种
3065,不拥有某基本兵种
3100,势力有达到若干建筑
3105,势力有少于若干建筑
3110,势力达到若干城池
3115,势力少于若干城池
3120,势力在州域中的建筑数达到若干
3125,势力在州域中的建筑数少于若干
3130,势力在地区中的建筑数达到若干
3135,势力在地区中的建筑数少于若干
3140,勢力武將數达到若干
3145,勢力武將數少于若干
3150,勢力編隊數达到若干
3155,勢力編隊數少于若干
3160,勢力部隊數达到若干
3165,勢力部隊數少于若干
3170,勢力人口數达到若干
3175,勢力人口數少于若干
3200,指定势力ID
3205,不为指定势力ID
3210,拥有指定建筑ID
3215,不拥有指定建筑ID
4000,仕官年达到若干
4005,仕官年少于若干
4010,总士兵伤害达到若干
4015,总士兵伤害少于若干
4020,总受士兵伤害达到若干
4025,总受士兵伤害少于若干
4030,总建筑伤害达到若干
4035,总建筑伤害少于若干
4040,反叛数达到若干
4045,反叛数少于若干
4050,处斩数达到若干
4055,处斩数少于若干
4060,逃跑数达到若干
4065,逃跑数少于若干
4070,被俘数达到若干
4075,被俘数少于若干
4080,俘虏次数达到若干
4085,俘虏次数少于若干
4090,计略成功次数达到若干
4095,计略成功次数少于若干
4100,计略失败次数达到若干
4105,计略失败次数少于若干
4110,计略中计次数达到若干
4115,计略中计次数少于若干
4120,计略阻挡次数达到若干
4125,计略阻挡次数少于若干
4130,武将疲累度达到若干
4135,武将疲累度少于若干
4140,致战死武将数达到若干
4145,致战死武将数少于若干
4200,所属在某建筑
4205,所属不在某建筑
4210,在某建筑中的俘虏
4215,不在某建筑中的俘虏
4220,在某建筑中的妃子
4225,不在某建筑中的妃子
5000,劇本已進行日數达到若干
5005,劇本已進行日數少于若干
5010,在某年或之後
5015,在某年之前
5020,在每年某月或之後
5025,在每年某月之前
5030,在每月某日或之後
5035,在每月某日之前
5040,劇本勢力數达到若干
5045,劇本勢力數少于若干
5050,劇本部隊數达到若干
5055,劇本部隊數少于若干
5060,劇本編隊數达到若干
5065,劇本編隊數少于若干
5070,劇本武將數达到若干
5075,劇本武將數少于若干
9998,游戏开始
9999,游戏结束
