ID,名称,图像,价值,已出现,隐藏于建筑,宝物种类,出现年,属于人物,影响列表,介绍
1105,古锭刀,1105,50,true,-1,1100,190,365,6014 ,【上品】武器（不可叠加） 孙坚所使的刀，讨董卓时，便是以此刀指挥全军作战，刀挥之处势如破竹。
1106,神刀,1106,50,false,80,1100,190,-1,6014 ,【中品】武器（不可叠加） 诸葛亮命令蒲元打造的锋利直刀。是当时世上最锋利的武器。
1107,百辟刀,1107,30,true,-1,1100,190,347,6012 ,【中品】武器（不可叠加） 曹操花了三年时间苦心打造的五把直刀。这五把宝刀被称为百炼的利器。
1108,吴钩,1108,20,false,64,1100,190,-1,6010 ,【下品】武器（不可叠加） 刀刃宽阔，刀身反转的弯刀。春秋时　吴国大量生产，从而得名。
1109,锯齿刀,1109,20,false,80,1100,190,-1,6010 ,【下品】武器（不可叠加） 配有锯齿状刀刃的弯刀。
1110,环首刀,1110,20,false,100,1100,190,-1,6010 ,【下品】武器（不可叠加） 片刃直刀。刀柄前端有金属制的刀环，因而被称为环柄刀。
1111,青龙偃月刀,1111,80,true,-1,1100,190,98,6017 ,【上品】武器（不可叠加） 又名冷艳锯，关羽爱用的长柄大刀。于讨黄巾贼时铸造，重八十二斤。
1112,三尖刀,1112,50,true,-1,1100,190,146,6014 ,【中品】武器（不可叠加） 纪灵所使用的大型长柄刀，重五十斤，刀尖分为三叉。
1113,凤嘴刀,1113,20,false,105,1100,190,-1,6011 ,【下品】武器（不可叠加） 刀刃如凤嘴般弯曲的长柄武器。
1114,旣尖刀,1114,20,false,3,1100,190,-1,6011 ,【下品】武器（不可叠加） 刀尖有如旣毛般的弯曲的长柄武器。
1115,大杆刀,1115,20,false,9,1100,190,-1,6011 ,【下品】武器（不可叠加） 大薙刀。长棒的前方安装了朴刀的普通长柄武器。
1116,大刀,1116,10,false,39,1100,190,-1,6010 ,【下品】武器（不可叠加） 长柄棒上有宽型单刃刀片的普通武器。
1117,丈八蛇矛,1117,80,true,-1,1100,190,432,6017 ,【上品】武器（不可叠加） 张飞所用，于讨黄巾贼时铸造的钢矛，长一丈八尺。
1118,铁脊蛇矛,1118,40,true,-1,1100,190,466,6013 ,【中品】武器（不可叠加） 程普所使的矛，状如蛇形。曾在和蔡瑁对战中使用。
1119,金马槊,1119,20,false,98,1100,190,-1,6011 ,【下品】武器（不可叠加） 长一丈八尺的骑兵用长枪，被称为槊。与西洋的骑士长枪相当。突击用的重型武器。
1120,枣木槊,1141,10,false,49,1100,190,-1,6010 ,【下品】武器（不可叠加） 使用枣木柄的槊。枣木以色泽美丽硬度高而闻名。
1121,三丈矛,2,10,false,141,1100,190,-1,6010 ,【下品】武器（不可叠加） 乐浪周边诸国家中经常使用的，长三丈的步兵用长枪。要数人才能抬动。
1122,方天画戟,1122,100,true,-1,1100,190,660,6019 ,【上品】武器（不可叠加） 前端的枪尖旁附有月牙状的刀刃，是吕布爱用的兵器。
1123,双铁戟,1123,80,true,-1,1100,190,471,6017 ,【中品】武器（不可叠加） 典韦所使的短戟，一把各重八十斤，被张绣偷袭时遭胡车儿所盗。
1124,大斧,1124,70,true,-1,1100,190,290,6016 ,【下品】武器（不可叠加） 斧柄极大的战斧，为徐晃所使。
1125,铁鞭,1125,50,true,-1,1100,190,163,6014 ,【中品】武器（不可叠加） 虽名为鞭，其实是状似短棍的武器。
1126,铁蒺藜骨朵,1126,60,true,-1,1100,190,236,6015 ,【下品】武器（不可叠加） 矛的一种，前端有大量的铁刺，为武陵蛮王·沙摩柯所使用。
1127,铁锁,1127,70,true,-1,1100,190,118,6016 ,【中品】武器（不可叠加） 铸上铁球的锁，为甘宁所使用。
1128,流星鎚,1128,30,true,-1,1100,190,40,6012 ,【中品】武器（不可叠加） 绳的两端系上铁锤，用以投掷杀敌，为王双所使用。
1129,铁瓜鎚,1129,20,false,28,1100,190,-1,6011 ,【下品】武器（不可叠加） 长柄的锤子，前端是铁制的瓜形物。
1130,铜鎚,1130,30,false,136,1100,190,-1,6010 ,【下品】武器（不可叠加） 长柄的锤子，前端是铜制的圆柱体。
1131,梅花袖箭,1131,40,false,80,5,190,-1,521 ,【上品】暗器（不可叠加） 发射型武器。袖箭的改良品，可以连发。最大为六连装填。
1132,袖箭,1132,30,false,91,5,190,-1,520 ,【上品】暗器（不可叠加） 利用弹簧击射短箭的武器，一般都藏在衣袖中使用。
1133,飞刀,1133,40,true,-1,5,190,248,521 ,【上品】暗器（不可叠加） 投掷用的小刀，为孟获之妻祝融夫人所使用。
1134,短戟,1123,40,true,-1,5,190,471,521 ,【上品】暗器（不可叠加） 投掷用的短戟，是典韦的副武器。
1135,手戟,1135,30,true,-1,5,190,389,520 ,【上品】暗器（不可叠加） 投掷用武器，戟柄极短，曾在演义中被孙策和太史慈使用过。
1136,养由基弓,1136,30,false,10,1100,190,-1,6012 ,【上品】武器（不可叠加） 春秋时，楚的名射手养由基之弓，也是成语「百发百中」的语源。
1137,李广弓,1137,20,false,116,1100,190,-1,6011 ,【中品】武器（不可叠加） 汉朝时，抗匈奴的名将李广之弓，据说可穿岩石。
1138,东胡飞弓,1138,10,false,147,1100,190,-1,6010 ,【下品】武器（不可叠加） 为游牧民族骑射所使用之轻量弓。三国志中所登场之乌丸、鲜卑即为东胡之后裔。
1139,貊弓,1139,10,false,141,1100,190,-1,6010 ,【下品】武器（不可叠加） 高句丽所产之良弓。高句丽又名为小水貊之族。
1140,檀弓,1140,10,false,24,1100,190,-1,6010 ,【下品】武器（不可叠加） 乐浪周边诸国使用的良弓。「檀」是为真弓之木之意。
1141,龙胆枪,2000,90,true,-1,1100,190,395,6018 ,【上品】武器（不可叠加） 其枪全名曰：龙胆亮银枪。龙胆亮银枪，在野史里记载，他的枪不是普通的，是家传的 ，他哥哥死后给的他。
1142,龙骑尖,1121,80,true,-1,1100,184,515,6017 ,【上品】武器（不可叠加） 马超武器，又名“龙骑枪” 枪身用金丝楠木打造，枪头为全银锻造，挥舞中闻龙吟声，故称“龙吟”。
1143,三丈槊,1135,50,true,-1,1100,184,180,6014 ,【中品】武器（不可叠加） 公孙瓒出塞遇鲜卑骑兵，乃自持槊，两头施刃，持出刺敌杀伤数十人。后来在虎牢关用此槊迎战吕布，败的很惨。
1144,思召剑,2035,40,true,-1,1100,184,18,6013 ,【中品】武器（不可叠加） 袁绍所有，上铭曰思召。《古今注》袁绍在黎阳梦神人授一宝剑，及觉，果在卧所，铭曰思召，解思召为绍字。
1145,龙舌弓,1147,70,true,-1,1100,184,185,6016 ,【上品】武器（不可叠加） 黄忠武器
1146,截头大刀,2016,50,true,-1,1100,184,558,6014 ,【上品】武器（不可叠加） 庞德的兵器，其刀头比普通大刀短一段，但刀背却要厚不少。
1148,长柄铁锤,1145,40,true,-1,1100,184,535,6013 ,【中品】武器（不可叠加） 武安国所用长柄铁锤，重五十斤。
1149,衠钢槊,2015,50,true,-1,1100,184,242,6014 ,【上品】武器（不可叠加） 周泰在赤壁之战时用的兵器，是纯钢的长槊。
1150,龙泉剑,2046,50,true,-1,1100,184,466,6014 ,【上品】武器（不可叠加） 程普于赤壁之战时用的宝剑。后晋张华夜观天象，见牛，斗之间有剑气照于江西，于是在灭吴之后，派预章人雷焕去丰城任官，结果在县衙后石匣中找到龙泉，太阿二剑。
1151,松纹厢宝剑,2044,40,true,-1,1100,184,568,6013 ,【中品】武器（不可叠加） 共两口，南蛮王孟获和诸葛亮第一次对阵时的兵器。其剑身上镶有如松纹一样的剑纹。
1153,丈八长标,1120,40,true,-1,1100,184,248,6013 ,【中品】武器（不可叠加） 孟获之妻祝融夫人的兵器，是南蛮的特有武器。
1154,金乌枪,2008,70,true,-1,1100,184,85,6016 ,【上品】武器（不可叠加） 夏侯惇武器
1155,点钢枪,2003,70,true,-1,1100,184,545,6016 ,【上品】武器（不可叠加） 文丑武器
1156,诸葛枪,1119,40,true,-1,1100,184,165,6013 ,【中品】武器（不可叠加） 诸葛亮曾制造过两丈长的木柄枪和二丈五尺长的竹柄枪，都加上铁制枪头。出于《事物纪原》。这大概是三国时期最长的兵器了。
1157,长柄铁锤,1146,50,true,-1,1100,184,9016,6014 ,【中品】武器（不可叠加） 西羌国元帅越吉的兵器，重一百斤，因为是长柄，所以打击力比普通锤强的多，但使用者本身也要有相当的技巧和力量，使用时硬砸实架，其用法有涮、拽、挂、砸、架、云、盖等。
1158,蘸金斧,1144,40,true,-1,1100,184,359,6013 ,【中品】武器（不可叠加） 东吴孙桓部将李异的兵器，是在斧头上镀金的大斧。
1159,马岱宝刀,2057,50,true,-1,1100,184,512,6014 ,【中品】武器（不可叠加） 马岱的家传宝刀
1160,王双大刀,2040,40,true,-1,1100,184,40,6013 ,【中品】武器（不可叠加） 王双用的大刀，重六十斤。
1161,吕虔刀,2018,40,true,-1,1100,184,655,6013 ,【中品】武器（不可叠加） 晋书记载：吕虔有一口宝刀，听人说，要位登三公，才可佩带，便把它送给了别人。
1162,文士剑,2023,30,true,-1,1100,184,347,6012 ,"【中品】武器（不可叠加） 杨修献于魏文帝曹丕的宝剑。 魏文帝爱杨修才,修诛后,追修,修会以宝剑与文帝。帝后佩之,告左右曰:“此杨修剑也。"
1163,镇山剑,2037,30,true,-1,1100,184,629,6012 ,【中品】武器（不可叠加） 蜀后帝禅造，一丈二尺，廷熙二年造此巨剑以镇剑口山故名。
1164,皇帝吴王剑,2027,30,true,-1,1100,184,368,6012 ,【中品】武器（不可叠加） 吴主孙皓铸。文曰：皇帝吴王小篆书，建衡元年铸。
1166,日月刀,2019,40,true,-1,1100,184,117,6013 ,【中品】武器（不可叠加） 西凉大将韩德的四子韩琪的兵器，共分日刀、月刀两口
1167,龙鳞刀,2022,40,true,-1,1100,184,347,6013 ,【中品】武器（不可叠加） 曹丕所造百辟露陌刀一，长三尺二才，状如龙文，名曰龙鳞。
1168,百辟匕首,2061,30,true,-1,1100,184,347,6012 ,【中品】武器（不可叠加） 曹丕所造，其一理似坚冰，名曰清刚，其二曙似朝日，名曰扬文
1169,虎筋弓,2708,50,true,-1,1100,184,78,6014 ,【上品】武器（不可叠加） 夏侯渊武器
1170,灵宝弓,1149,50,true,-1,1100,184,375,6014 ,【中品】武器（不可叠加） 孙尚香武器
1171,震天弓,1148,50,true,-1,1100,184,154,6014 ,【中品】武器（不可叠加） 严颜武器
1172,银龙戟,2011,50,true,-1,1100,184,439,6014 ,【上品】武器（不可叠加） 张辽武器
1173,丧门戟,1152,50,true,-1,1100,184,609,6014 ,【上品】武器（不可叠加） 李典武器
1174,电光刀,2020,50,true,-1,1100,184,69,6014 ,【上品】武器（不可叠加） 乐进武器
1175,六合枪,2006,50,true,-1,1100,184,6,6014 ,【上品】武器（不可叠加） 于禁武器
1176,七星古月刀,2050,40,true,-1,1100,184,116,6013 ,【上品】武器（不可叠加） 韩当武器
1177,柳叶披风刀,2062,40,true,-1,1100,184,355,6013 ,【上品】武器（不可叠加） 祖茂武器
1178,困龙戟,1142,30,true,-1,1100,184,334,6012 ,【中品】武器（不可叠加） 宋谦武器
1179,双天戟,1143,30,true,-1,1100,184,55,6012 ,【中品】武器（不可叠加） 贾华武器
1180,虎牙枪,2007,70,true,-1,1100,184,370,6016 ,【上品】武器（不可叠加） 孙策武器
1181,三叉鬼头刀,2018,60,true,-1,1100,184,144,6015 ,【上品】武器（不可叠加） 许褚武器
1182,夺魂枪,1150,60,true,-1,1100,184,389,6015 ,【上品】武器（不可叠加） 太史慈武器
1183,狼牙刀,2034,60,true,-1,1100,184,124,6015 ,【上品】武器（不可叠加） 魏延武器
1184,雀舌枪,1120,60,true,-1,1100,184,415,6015 ,【上品】武器（不可叠加） 张锈武器
1185,银蟒枪,1151,70,true,-1,1100,184,123,6016 ,【上品】武器（不可叠加） 颜良武器
1186,勾楼剑,2058,50,true,-1,1100,184,481,6014 ,【上品】武器（不可叠加） 邓艾武器
1187,力贯枪,1153,60,true,-1,1100,184,136,6015 ,【上品】武器（不可叠加） 姜维武器
1200,孙子兵法,1200,70,false,60,1200,190,-1,6009 ,【上品】兵书（不可叠加） 春秋时，吴国名将孙武所著的兵法书，现存曹操注释的版本。
1201,六韬,1201,60,false,116,1200,190,-1,6007 ,【中品】兵书（不可叠加） 周王朝成立时，由功臣太公望所撰的兵法书。分为文、武、龙、虎、豹、犬韬等六部分。
1202,三略,1202,55,false,39,1200,190,-1,6004 ,【中品】兵书（不可叠加） 西汉初期，黄石公传授开国功臣张良的兵书，共分成上略、中略、下略三篇。
1203,司马法,1203,50,false,28,1200,190,-1,6006 ,【中品】兵书（不可叠加） 春秋时，齐国名将司马穰苴所撰的兵法书，共五篇。
1204,吴子,1204,45,false,24,1200,190,-1,6005 ,【中品】兵书（不可叠加） 战国时，名兵法家吴起所著的兵法书，和孙子并称「孙吴」。
1205,孙膑兵法,1205,45,false,55,1200,190,-1,6004 ,【中品】兵书（不可叠加） 战国时，齐国兵法家孙滨所著的兵法书。孙滨亦作「孙膑」，据说孙滨是孙武的子孙。
1206,尉缭子,1206,40,false,105,1200,190,-1,6003 ,【下品】兵书（不可叠加） 仕于秦始皇的兵法家·尉缭子所著的兵法书。
1207,墨子,1207,30,false,28,1200,190,-1,6003 ,【上品】兵书（不可叠加） 集合墨家始祖·墨子言论的书，记载筑城和迎敌的方法。
1208,魏公子兵法,1208,25,false,141,1200,190,-1,6002 ,【下品】兵书（不可叠加） 战国四君子之一·信陵君编篡，由整合诸侯所献上的兵法书而成。
1209,孟德新书,1209,30,true,-1,1200,190,343,6001 ,【下品】兵书（不可叠加） 曹操所著的兵法书，但张松嘲笑是窃人之作，因此曹操便将之烧弃。
1210,兵法二十四篇,1210,35,true,-1,1200,190,289,6000 ,【下品】兵书（不可叠加） 诸葛亮死前传给姜维的兵书，记载着军令与阵形等等。
1300,韩非子,1211,50,false,0,1300,190,-1,6039 ,【上品】政书（不可叠加） 战国时的思想家韩非所著。有「孤愤」、「五蠹」等等二十卷，共五十五篇。
1301,管子,1212,45,false,134,1300,190,-1,6038 ,【中品】政书（不可叠加） 春秋时齐国宰相管仲所撰的言行录。有言：「仓廪实，则知礼节；衣食足，则知荣辱」。
1302,商君书,1213,40,false,105,1300,190,-1,6037 ,【中品】政书（不可叠加） 战国时秦国宰相商鞅所著之书，以严刑峻罚闻名。
1303,晏子春秋,1214,40,false,127,1300,190,-1,6036 ,【中品】政书（不可叠加） 春秋时齐国宰相晏婴所著之书。
1304,周书阴符,1215,35,false,0,1300,190,-1,6035 ,【下品】政书（不可叠加） 以太公望的谋略为内容的著作，为战国时的纵横家苏秦所著。
1305,四民月令,1216,20,false,0,1300,190,-1,6034 ,【下品】政书（不可叠加） 东汉崔寔所撰，记载汉的岁时农事。
1306,盐铁论,1217,15,false,0,1300,190,-1,6033 ,【下品】政书（不可叠加） 前汉的桓宽撰。记录各地巡抚对盐铁专卖可否等财政政策的争论。十卷六十篇。
1307,春秋左氏传,1218,30,false,28,1300,190,-1,6037 ,【中品】史书（不可叠加） 孔子弟子左丘明为五经之一「春秋」所做的注释。
1308,史记,1219,20,false,40,1300,190,-1,6036 ,【中品】史书（不可叠加） 西汉司马迁所著，记载西汉武帝以前的历史。
1309,汉书,1220,15,false,105,1300,190,-1,6035 ,【下品】史书（不可叠加） 作者是东汉的班固，为记载西汉的正史，共有百卷。
1310,战国策,1221,30,false,0,1300,190,-1,6034 ,【下品】史书（不可叠加） 原本是战国时，纵横家向诸侯所献的计策，后来由西汉的刘向再加以编订而成。
1311,吕氏春秋,1222,10,false,19,1300,190,-1,6033 ,【下品】史书（不可叠加） 战国时，秦国宰相吕不韦所撰，是成语「一字千金」的语源。
1312,吴越春秋,1223,20,false,45,1300,190,-1,6032 ,【下品】史书（不可叠加） 东汉赵晔所撰，内容记载吴越的兴亡。
1313,列女传,1224,5,false,100,1300,190,-1,6031 ,【下品】史书（不可叠加） 西汉刘向所编，内容是记载历史中著名女性的传记。
1314,淮南子,1225,15,false,23,1300,190,-1,6030 ,【下品】史书（不可叠加） 由西汉的淮南王刘安，吸收诸子百家的思想编辑而成。
1400,老子,1226,55,false,117,1400,190,-1,6029 ,【上品】经书论文（不可叠加） 道教的经典，据说是道家始祖老子所著。
1401,荘子,1227,50,false,24,1400,190,-1,6028 ,【中品】经书论文（不可叠加） 记载道家庄子学说、言行的书，别称「南华真经」。
1402,论语,1228,50,false,17,1400,190,-1,6027 ,【中品】经书论文（不可叠加） 记载儒教先师孔子的言行录，与孟子、大学、中庸合称四书。
1403,诗经,1229,50,false,137,1400,190,-1,6026 ,【中品】经书论文（不可叠加） 记载古诗歌的文艺作品，编者不详。五经之一。
1404,书经,1230,35,false,39,1400,190,-1,6025 ,【中品】经书论文（不可叠加） 整理周的传说、史实，再加以编订而成的作品。五经之一。
1405,易经,1231,55,false,0,1400,190,-1,6024 ,【中品】经书论文（不可叠加） 记载周关于占卜的著作。五经之一。
1406,礼记,1232,35,false,12,1400,190,-1,6023 ,【中品】经书论文（不可叠加） 记载秦、汉两关于礼法的书。五经之一。
1407,论语集解,1233,35,true,-1,1400,190,52,6028 ,【下品】经书论文（不可叠加） 魏国何晏所撰，具有「论语」最完整的注释。
1408,典论,1234,15,true,-1,1400,190,347,6027 ,【下品】经书论文（不可叠加） 魏文帝曹丕的著作，评论古今人物及政治。
1409,博奕论,1235,10,false,55,1400,190,-1,6026 ,【下品】经书论文（不可叠加） 孙和认为博奕无益，于是命韦昭著论以矫之。
1410,时要论,1236,10,false,24,1400,190,-1,6025 ,【下品】经书论文（不可叠加） 王基所著，是曹爽执政时，批判时流的作品。
1411,治论,1237,10,true,-1,1400,190,42,6024 ,【下品】经书论文（不可叠加） 王昶所著，指摘魏国的法律制度过严，必须加以改正。
1412,弁道论,1238,20,true,-1,1400,190,339,6023 ,【下品】经书论文（不可叠加） 曹植针对方士所著作的论文。
1413,乾象暦注,1239,5,true,-1,1400,190,113,6022 ,【下品】经书论文（不可叠加） 论文。阚泽为了统整历和季节所著，后来孙权将之作为吴国的历法。
1414,孝经传,1240,5,true,-1,1400,190,157,6021 ,【下品】经书论文（不可叠加） 饱读「诗经」「书经」「三礼」的严畯所写的论文。
1415,仇国论,1241,5,true,-1,1400,190,269,6020 ,【下品】经书论文（不可叠加） 谯周所著，于刘禅在位时，阐述战争的利害。
1500,青嚢书,1242,40,true,-1,1500,190,7005,860 ,【上品】医书（不可叠加） 记载神医华佗毕生所学的医书。因置于青袋中，故称为青囊书。
1501,太平清领道,1243,40,false,141,1500,190,-1,860 ,【下品】医书（不可叠加） 于吉仙人在曲阳泉旁所得，可治万病的神书。
1502,伤寒杂病论,1244,35,false,7,1500,190,-1,860 ,【中品】医书（不可叠加） 张机所著的医书，记载外感热病的治疗方法，有中医圣典之称。共十卷。
1600,遁甲天书,1245,50,false,5,1600,190,-1,8563 ,【上品】奇书（不可叠加） 方士左慈于峨嵋山的石壁，所取得的天、地、人三卷天书。
1601,太平要术,1246,50,false,129,1600,190,-1,8585 ,【上品】奇书（不可叠加） 张角得自南华老仙所授的天书，有呼风唤雨之能。
1602,山海经,1247,30,false,136,1600,190,-1,8586 ,【中品】奇书 （不可叠加）自战国到汉，经多人所著，内容以神话为主，并涉及天文、地理、动植物、医药卫生等。
1700,西蜀地形图,1248,20,true,-1,1700,190,420,204 ,【下品】地图（不可叠加） 张松暗地献给刘备，绘制着西蜀五郡四十一县的地图。
1701,平蛮指掌图,1249,15,false,80,1700,190,-1,202 ,【下品】地图（不可叠加） 诸葛亮南征时，吕凯所献上的南方地图。
1800,袵业,1300,15,false,38,1800,190,-1,6040 ,【中品】装饰（不可叠加） 西域女性出嫁时穿着上衣装饰。织入鲜艳的蓝色以及深红色。
1801,金耳坠,1301,15,false,11,1800,190,-1,6045 ,【下品】装饰（不可叠加） 用金子打造的耳饰，来自西域，为高贵女子所喜爱。
1802,耳坠,1302,5,false,120,1800,190,-1,6044 ,【下品】装饰（不可叠加） 受女子所喜爱的装饰品。
1803,玛瑙,1303,25,false,116,1800,190,-1,6048 ,【上品】装饰（不可叠加） 红、绿、白等美丽外表的宝石。外表散发着不规则的光鲜。多由西域传入。
1804,翡翠,1304,25,false,93,1800,190,-1,6047 ,【上品】装饰（不可叠加） 鲜艳的绿色美丽宝石。翡翠意为「翠鸟」。
1805,珍珠,1305,25,false,64,1800,190,-1,6046 ,【上品】装饰（不可叠加） 洁白美丽光泽的宝石。以其装饰功能而被重视。多为东方传入。
1806,罗绮香嚢,1306,10,false,5,1800,190,-1,6043 ,【中品】装饰（不可叠加） 织入了蝙蝠等刺绣的高价香囊。
1807,香嚢,1307,5,false,141,1800,190,-1,6042 ,【下品】装饰（不可叠加） 内缝香药，系于腰间
1900,黄玉,1308,50,false,0,1900,190,-1,600 ,【下品】玉（不可叠加） 水晶般的光泽的黄色宝石。多由西域传入。
1901,碧玉,1309,50,false,102,1900,190,-1,600 ,【下品】玉（不可叠加） 红色、绿色、茶色等外表的宝石。特征是斑点和透明美丽的蓝色宝石。多用于勾玉。
1902,青玉,1310,50,false,151,1900,190,-1,600 ,【下品】玉（不可叠加） 透明美丽的蓝色宝石。钢玉的一种，多为西域传入，
1903,红玉,1311,50,false,105,1900,190,-1,600 ,【下品】玉（不可叠加） 特征为多样变化的红色宝石。多为西域传入。
2000,麻沸散,1312,40,false,10,2000,190,-1,612 ,【下品】药（可叠加） 华佗药方，世界最古老的麻醉药。患者可以在无痛苦的状态下进行解剖手术。
2001,漆叶青黏散,1313,35,false,61,2001,190,-1,606 ,【下品】药（可叠加） 漆叶和青黏打葆后磨制的滋养强壮药方。华佗将此方教给樊阿。
2002,亭暦犬血散,1314,35,false,107,2002,190,-1,616 ,【下品】药（可叠加） 华佗的方药。在患者痛苦时使用。
2003,五石散,1315,30,false,98,2003,190,-1,6506 ,【下品】药（可叠加） 精制的石锺乳·石硫黄·白石英。一种精神亢奋剂。由何晏兴起流行。
2004,武侯行军散,1316,30,false,80,2004,190,-1,617 ,【下品】药（可叠加） 征伐南蛮时诸葛亮的方药。有为兵士解暑功效。
2005,屠苏延命散,1317,30,false,129,2005,190,-1,618 ,【中品】药（可叠加） 华佗用山椒等八种草药配成的长寿灵药。据说是「屠苏」的起源。
2100,和氏璧,1318,50,false,10,2100,190,-1,6600 ,【上品】璧（可叠加） 古代的宝玉，此玉是成语「完璧归赵」的语源。
2101,白玉环,1319,20,false,64,2101,190,-1,6620 ,【下品】璧（可叠加） 西域产白玉壁。和丝绸一起流传下来。
