ID,类别,等级,战斗,名称,描述,条件,影响列表,条件列表,建筑条件,势力条件,自动习得机率,习得对话,习得传令官对话,全地图数目上限,势力数目上限,继承机率,将军,勇将,军师,识者,智将,君主,全能,平凡文,平凡武,庸才,相关能力
43,1,3,false,祭酒,•论战胜利几率提高5%•所在建筑人口不会迁出•降低发生水灾的机率50%•降低发生旱灾的机率50%•降低发生地震的机率50%•降低发生蝗灾的机率50%•降低发生瘟疫的机率50%•降低发生风灾的机率50%,•无法习得•无法出生自带•无法出现于生成武将中,910 123 6420 6421 6422 6423 6424 6425 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
51,1,3,false,縝密,•论战胜利几率提高10%•执行“劫牢”必然成功,•无法习得•无法出生自带•无法出现于生成武将中,911 471 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
52,1,3,false,損毀,•论战胜利几率提高5%•执行“破坏”必然成功,•无法习得•无法出生自带•无法出现于生成武将中,910 472 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
53,1,3,false,惑眾,•论战胜利几率提高15%•执行“煽动”必然成功,•无法习得•无法出生自带•无法出现于生成武将中,912 473 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
54,1,3,false,善辯,•论战胜利几率提高15%•执行“流言”必然成功,•无法习得•无法出生自带•无法出现于生成武将中,912 474 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
55,1,3,false,觀察,•执行“搜索”必有斩获,•无法习得•无法出生自带•无法出现于生成武将中,475 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
60,1,3,false,高俊,•论战胜利几率提高5%•农业技巧点数为基本值的三倍•商业技巧点数为基本值的三倍,•无法习得•无法出生自带•无法出现于生成武将中,910 60 61 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
61,1,3,false,奇士,•论战胜利几率提高5%•技术技巧点数为基本值的三倍•耐久技巧点数为基本值的三倍,•无法习得•无法出生自带•无法出现于生成武将中,910 62 65 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
62,1,3,false,名士,•论战胜利几率提高10%•统治技巧点数为基本值的三倍•民心技巧点数为基本值的三倍,•无法习得•无法出生自带•无法出现于生成武将中,911 63 64 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
63,1,3,false,知名當世,•论战胜利几率提高15%•所在势力每月势力声望增长100,•无法习得•无法出生自带•无法出现于生成武将中,912 161 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
70,1,2,false,務農,•农业获得势力声望为基本值的三倍•农业技巧点数为基本值的三倍,•无法习得•无法出生自带•无法出现于生成武将中,20 60 ,900 901 902,,,0,,,9999,9999,18,0,0,0,0,0,0,0,0,0,0,0
71,1,3,false,經商,•论战胜利几率提高10%•商业获得势力声望为基本值的三倍•商业技巧点数为基本值的三倍,•无法习得•无法出生自带•无法出现于生成武将中,911 21 61 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
72,1,2,false,研究,•技术获得势力声望为基本值的三倍•技术技巧点数为基本值的三倍,•无法习得•无法出生自带•无法出现于生成武将中,22 62 ,900 901 902,,,0,,,9999,9999,18,0,0,0,0,0,0,0,0,0,0,0
73,1,3,false,雄氣壯節,•论战胜利几率提高5%•统治获得势力声望为基本值的三倍•统治技巧点数为基本值的三倍,•无法习得•无法出生自带•无法出现于生成武将中,910 23 63 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
74,1,3,false,弘毅寬厚,•论战胜利几率提高5%•民心获得势力声望为基本值的三倍•民心技巧点数为基本值的三倍,•无法习得•无法出生自带•无法出现于生成武将中,910 24 64 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
75,1,2,false,建設,•耐久获得势力声望为基本值的三倍•耐久技巧点数为基本值的三倍,•无法习得•无法出生自带•无法出现于生成武将中,25 65 ,900 901 902,,,0,,,9999,9999,18,0,0,0,0,0,0,0,0,0,0,0
80,1,5,false,才高八斗,•论战胜利几率提高20%•所在势力每月势力声望增长200•自身经验获得增加40%,•无法习得•无法出生自带•无法出现于生成武将中,913 163 6053 ,900 901 902,,,0,,,9999,9999,7,0,0,0,0,0,0,0,0,0,0,0
81,1,2,false,文豪,•论战胜利几率提高10%•所在势力每月势力声望增长50,•无法习得•无法出生自带•无法出现于生成武将中,911 160 ,900 901 902,,,0,,,9999,9999,18,0,0,0,0,0,0,0,0,0,0,0
200,1,7,true,奸雄,•斜向视野•仅对主将有效（本条以下）•被暴击几率减少20%•每1000名声，部队防御力加1.5%•避免被围攻几率增加50%•仅对君主有效（本条以下）•视野范围内友军被暴击几率减少10%,•无法习得•无法出生自带•无法出现于生成武将中,270 281 408 642 704 280 656 ,900 901 902,,,0,,,9999,9999,5,0,0,0,0,0,0,0,0,0,0,0
201,1,6,true,梟雄,•仅对主将有效（本条以下）•被暴击几率减少10%•每1000名声，部队攻击力加1%•避免被围攻几率增加30%•仅对君主有效（本条以下）•视野范围内友军攻击力增加10%,•无法习得•无法出生自带•无法出现于生成武将中,281 406 631 702 280 681 ,900 901 902,,,0,,,9999,9999,6,0,0,0,0,0,0,0,0,0,0,0
202,1,6,true,英雄,•仅对主将有效（本条以下）•被暴击几率减少10%•每1000名声，部队攻击力加0.5%•每1000名声，部队防御力加0.5%•视野范围内友军暴击几率增加10%•避免被围攻几率增加30%•步戟有效（本条以下）•骑兵有效（本条以下）•可施行“义勇”战法,•无法习得•无法出生自带•无法出现于生成武将中,281 406 630 640 651 702 290 292 8542 ,900 901 902,,,0,,,9999,9999,6,0,0,0,0,0,0,0,0,0,0,0
203,1,4,true,群雄,•仅对主将有效（本条以下）•被暴击几率减少10%•每1000名声，部队攻击力加0.5%•避免被围攻几率增加20%•仅对君主有效（本条以下）•视野范围内友军攻击力增加5%,•无法习得•无法出生自带•无法出现于生成武将中,281 406 630 701 280 680 ,900 901 902,,,0,,,9999,9999,9,0,0,0,0,0,0,0,0,0,0,0
220,1,6,true,名將,•单挑胜利几率提高5%•仅对主将有效（本条以下）•被暴击几率减少10%•主动攻击无战斗称号部队使之士气减10•每1000名声，部队攻击力加0.5%•每1000名声，部队防御力加0.5%•避免被围攻几率增加30%•步戟有效（本条以下）•骑兵有效（本条以下）•可施行“游击”战法,•无法习得•无法出生自带•无法出现于生成武将中,900 281 406 602 630 640 702 290 292 8562 ,900 901 902,,,0,,,9999,9999,6,0,0,0,0,0,0,0,0,0,0,0
221,1,4,true,驍將,•单挑胜利几率提高15%•仅对主将有效（本条以下）•暴击几率增加10%•主动攻击无战斗称号部队使之战意减30•避免被围攻几率增加20%,•无法习得•无法出生自带•无法出现于生成武将中,902 281 401 603 701 ,900 901 902,,,0,,,9999,9999,9,0,0,0,0,0,0,0,0,0,0,0
222,1,4,true,勇將,•单挑胜利几率提高10%•仅对主将有效（本条以下）•暴击几率增加15%•被暴击几率减少10%•避免被围攻几率增加20%•步戟有效（本条以下）•骑兵有效（本条以下）•可施行“勇武”战法,•无法习得•无法出生自带•无法出现于生成武将中,901 281 402 406 701 290 292 8558 ,900 901 902,,,0,,,9999,9999,9,0,0,0,0,0,0,0,0,0,0,0
223,1,6,true,虎癡,•同部队的人物不会被俘•所在部队每天战意增长5•单挑胜利几率提高20%•避免被围攻几率增加20%•击破部队时增加捕获机率20%•仅对主将有效（本条以下）•步戟有效（本条以下）•骑兵有效（本条以下）•可施行“裸衣”战法,•无法习得•无法出生自带•无法出现于生成武将中,261 620 903 701 6101 281 290 292 8568 ,900 901 902,,,0,,,9999,9999,6,0,0,0,0,0,0,0,0,0,0,0
224,1,6,true,惡來,•同部队的人物不会被俘•主动攻击使敌方战意减少10•单挑胜利几率提高20%•避免被围攻几率增加20%•击破部队时增加捕获机率20%•仅对主将有效（本条以下）•步戟有效（本条以下）•骑兵有效（本条以下）•可施行“血战”战法,•无法习得•无法出生自带•无法出现于生成武将中,261 521 903 701 6101 281 290 292 8570 ,900 901 902,,,0,,,9999,9999,6,0,0,0,0,0,0,0,0,0,0,0
225,1,2,true,冠軍,•单挑胜利几率提高5%•击破部队后战意增加10•避免被围攻几率增加10%,•无法习得•无法出生自带•无法出现于生成武将中,900 540 700 ,900 901 902,,,0,,,9999,9999,18,0,0,0,0,0,0,0,0,0,0,0
226,1,3,true,勇冠三軍,•单挑胜利几率提高10%•仅对主将有效（本条以下）•击破部队后战意增加30•避免被围攻几率增加20%,•无法习得•无法出生自带•无法出现于生成武将中,901 281 542 701 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
227,1,2,true,亂戰,•仅对主将有效（本条以下）•森林暴击几率增加20%•山地暴击几率增加20%•避免被围攻几率增加10%,•无法习得•无法出生自带•无法出现于生成武将中,281 222 224 700 ,900 901 902,,,0,,,9999,9999,18,0,0,0,0,0,0,0,0,0,0,0
228,1,3,true,護衛,•同部队的人物不会被俘•避免被围攻几率增加10%,•无法习得•无法出生自带•无法出现于生成武将中,261 700 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
229,1,3,true,善戰,•战法的战意消耗减少5•避免被围攻几率增加10%,•无法习得•无法出生自带•无法出现于生成武将中,604 700 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
230,1,3,true,守城,•仅对主将有效（本条以下）•部队守城时防御力加倍•避免被围攻几率增加20%•步戟有效（本条以下）•弓弩有效（本条以下）•骑兵有效（本条以下）•可施行“死守”战法,•无法习得•无法出生自带•无法出现于生成武将中,281 607 701 290 291 292 8560 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
231,1,4,true,猛將,•单挑胜利几率提高15%•仅对主将有效（本条以下）•暴击几率增加15%•暴击使敌方士气减少5•避免被围攻几率增加20%,•无法习得•无法出生自带•无法出现于生成武将中,902 281 402 364 701 ,900 901 902,,,0,,,9999,9999,9,0,0,0,0,0,0,0,0,0,0,0
232,1,3,true,奮戰,•单挑胜利几率提高5%•仅对主将有效（本条以下）•暴击几率增加5%•击破部队后可以再次攻击•避免被围攻几率增加10%,•无法习得•无法出生自带•无法出现于生成武将中,900 281 400 613 700 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
240,1,7,true,世之虎臣,•单挑胜利几率提高20%•仅对主将有效（本条以下）•暴击几率增加15%•被暴击几率减少20%•视野范围内非友军战意每天减少10•主动攻击无战斗称号部队使之士气减10•避免被围攻几率增加40%•步戟有效（本条以下）•骑兵有效（本条以下）•可施行“拖刀”战法,•无法习得•无法出生自带•无法出现于生成武将中,903 281 402 408 666 602 703 290 292 8541 ,900 901 902,,,0,,,9999,9999,5,0,0,0,0,0,0,0,0,0,0,0
241,1,9,true,天威飛將,•单挑胜利几率提高30%•自身不会被俘•主动攻击使敌方战意减少20•反击使敌方战意减少20•仅对主将有效（本条以下）•暴击几率增加20%•被暴击几率减少10%•暴击致敌混乱几率增加20%•击破部队后可以再次攻击•避免被围攻几率增加50%•步戟有效（本条以下）•骑兵有效（本条以下）•可施行“神威”战法,•无法习得•无法出生自带•无法出现于生成武将中,904 260 523 533 281 403 406 553 613 704 290 292 8547 ,900 901 902,,,0,,,9999,9999,4,0,0,0,0,0,0,0,0,0,0,0
242,1,6,true,國之利器,•单挑胜利几率提高15%•仅对主将有效（本条以下）•暴击几率增加15%•被暴击几率减少10%•暴击致敌混乱几率增加10%•视野范围内友军战意每天增加5•避免被围攻几率增加40%•步戟有效（本条以下）•骑兵有效（本条以下）•可施行“驰突”战法,•无法习得•无法出生自带•无法出现于生成武将中,902 281 402 406 551 660 703 290 292 8561 ,900 901 902,,,0,,,9999,9999,6,0,0,0,0,0,0,0,0,0,0,0
243,1,6,true,萬人敵,•单挑胜利几率提高20%•暴击使敌方士气减少5•仅对主将有效（本条以下）•暴击几率增加20%•暴击致敌混乱几率增加10%•击破部队后可以再次攻击•避免被围攻几率增加50%•步戟有效（本条以下）•骑兵有效（本条以下）•可施行“怒喝”战法,•无法习得•无法出生自带•无法出现于生成武将中,903 364 281 403 551 613 704 290 292 8540 ,900 901 902,,,0,,,9999,9999,6,0,0,0,0,0,0,0,0,0,0,0
244,1,6,true,鬼神之勇,•单挑胜利几率提高15%•仅对主将有效（本条以下）•暴击几率增加15%•被暴击几率减少15%•部队守城时防御力加倍•主动攻击无战斗称号部队使之战意减30•避免被围攻几率增加40%•步戟有效（本条以下）•骑兵有效（本条以下）•可施行“八阵”战法,•无法习得•无法出生自带•无法出现于生成武将中,902 281 402 407 607 603 703 290 292 8563 ,900 901 902,,,0,,,9999,9999,6,0,0,0,0,0,0,0,0,0,0,0
245,1,6,true,風馳電掣,•单挑胜利几率提高15%•仅对主将有效（本条以下）•暴击几率增加20%•暴击致敌混乱几率增加15%•所在部队在战斗中的缺粮状态每天士气下降减半•击破部队后可以再次攻击•避免被围攻几率增加50%,•无法习得•无法出生自带•无法出现于生成武将中,902 281 403 552 608 613 704 ,900 901 902,,,0,,,9999,9999,6,0,0,0,0,0,0,0,0,0,0,0
246,1,6,true,猛銳冠世,•单挑胜利几率提高20%•主动攻击使敌方战意减少20•仅对主将有效（本条以下）•暴击几率增加20%•暴击致敌混乱几率增加10%•避免被围攻几率增加40%•步戟有效（本条以下）•骑兵有效（本条以下）•可施行“劫营”战法,•无法习得•无法出生自带•无法出现于生成武将中,903 523 281 403 551 703 290 292 8555 ,900 901 902,,,0,,,9999,9999,6,0,0,0,0,0,0,0,0,0,0,0
247,1,9,true,霸王,•单挑胜利几率提高30%•仅对主将有效（本条以下）•暴击几率增加20%•被暴击几率减少15%•暴击致敌混乱几率增加20%•每1000名声，部队攻击力加2%•击破部队后可以再次攻击•避免被围攻几率增加50%•击破部队时增加捕获机率30%•步戟有效（本条以下）•骑兵有效（本条以下）•可施行“骁武”战法,•无法习得•无法出生自带•无法出现于生成武将中,904 281 403 407 553 633 613 704 6102 290 292 8554 ,900 901 902,,,0,,,9999,9999,4,0,0,0,0,0,0,0,0,0,0,0
248,1,6,true,小霸王,•单挑胜利几率提高20%•仅对主将有效（本条以下）•暴击几率增加15%•被暴击几率减少10%•暴击致敌混乱几率增加15%•每1000名声，部队攻击力加1%•避免被围攻几率增加40%•步戟有效（本条以下）•骑兵有效（本条以下）•可施行“骁武”战法,•无法习得•无法出生自带•无法出现于生成武将中,903 281 402 406 552 631 703 290 292 8554 ,900 901 902,,,0,,,9999,9999,6,0,0,0,0,0,0,0,0,0,0,0
249,1,5,true,英勇善戰,•单挑胜利几率提高15%•战法的战意消耗减少5•仅对主将有效（本条以下）•暴击几率增加15%•被暴击几率减少10%•避免被围攻几率增加30%•步戟有效（本条以下）•骑兵有效（本条以下）•可施行“炎枪”战法,•无法习得•无法出生自带•无法出现于生成武将中,902 604 281 402 406 702 290 292 8543 ,900 901 902,,,0,,,9999,9999,7,0,0,0,0,0,0,0,0,0,0,0
250,1,8,true,儒帥,•斜向视野•仅对主将有效（本条以下）•被暴击几率减少15%•每1000名声，部队防御力加1%•视野范围内友军计略成功率增加15%•避免被围攻几率增加40%•可施行“火神”战法•水军有效（本条以下）•可施行“龙漩”战法,•无法习得•无法出生自带•无法出现于生成武将中,270 281 407 641 672 703 8556 293 8545 ,900 901 902,,,0,,,9999,9999,5,0,0,0,0,0,0,0,0,0,0,0
251,1,5,true,儒將,•仅对主将有效（本条以下）•被暴击几率减少10%•每1000名声，部队防御力加0.5%•视野范围内友军计略成功率增加10%•避免被围攻几率增加20%,•无法习得•无法出生自带•无法出现于生成武将中,281 406 640 671 701 ,900 901 902,,,0,,,9999,9999,7,0,0,0,0,0,0,0,0,0,0,0
252,1,7,true,傾國傾城,•论战胜利几率提高15%•视野范围内非友军攻击力减少10%•视野范围内非友军防御力减少10%•怀孕机率增加30%,•无法习得•无法出生自带•无法出现于生成武将中,912 686 696 6302 ,900 901 902,,,0,,,9999,9999,5,0,0,0,0,0,0,0,0,0,0,0
253,1,3,true,奏樂,•所在部队每天战意增长10•怀孕机率增加10%,•无法习得•无法出生自带•无法出现于生成武将中,621 6300 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
254,1,6,true,醫聖,•伤兵每天自动恢复1个基本单位•允许使用“医治”计略,•无法习得•无法出生自带•无法出现于生成武将中,612 860 ,900 901 902,,,0,,,9999,9999,6,0,0,0,0,0,0,0,0,0,0,0
260,1,3,true,奇謀,•计略范围加1•围攻致乱率增加5%,•无法习得•无法出生自带•无法出现于生成武将中,573 710 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
261,1,3,true,深謀,•计略成功致敌混乱几率增加30%•围攻致乱率增加10%,•无法习得•无法出生自带•无法出现于生成武将中,562 711 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
262,1,3,true,獻計,•计略的战意消耗减少5•围攻致乱率增加5%,•无法习得•无法出生自带•无法出现于生成武将中,605 710 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
263,1,5,true,精謀,•对智谋较低的敌方部队使用计略时必成功•围攻致乱率增加10%•仅对主将有效（本条以下）•可施行“异心”战法,•无法习得•无法出生自带•无法出现于生成武将中,570 711 281 8566 ,900 901 902,,,0,,,9999,9999,7,0,0,0,0,0,0,0,0,0,0,0
264,1,3,true,秘計,•斜向计略•围攻致乱率增加5%,•无法习得•无法出生自带•无法出现于生成武将中,272 710 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
280,1,8,true,算無遺策,•对智谋较低的敌方部队使用计略时必成功•必然看穿智谋较低的敌方部队的计略•计略成功致敌混乱几率增加30%•斜向计略•围攻致乱率增加30%•仅对主将有效（本条以下）•计略成功时敌方士兵减少50•计略成功时夺得敌军20000粮草•可施行“八卦”战法,•无法习得•无法出生自带•无法出现于生成武将中,570 571 562 272 714 281 16946 16945 8548 ,900 901 902,,,0,,,9999,9999,5,0,0,0,0,0,0,0,0,0,0,0
281,1,4,true,連環計,•计略可以影响到相邻部队•围攻致乱率增加15%,•无法习得•无法出生自带•无法出现于生成武将中,572 712 ,900 901 902,,,0,,,9999,9999,9,0,0,0,0,0,0,0,0,0,0,0
282,1,6,true,奇畫策算,•计略范围加1•计略成功率增加15%•计略成功致敌混乱几率增加20%•围攻致乱率增加15%•仅对主将有效（本条以下）•可施行“鬼谋”战法,•无法习得•无法出生自带•无法出现于生成武将中,573 502 561 712 281 8564 ,900 901 902,,,0,,,9999,9999,6,0,0,0,0,0,0,0,0,0,0,0
283,1,7,true,老謀深算,•计略成功率增加15%•计略成功致敌混乱几率增加40%•围攻致乱率增加20%•仅对主将有效（本条以下）•计略成功时敌方战意减少20•可施行“狼顾”战法,•无法习得•无法出生自带•无法出现于生成武将中,502 563 713 281 6923 8569 ,900 901 902,,,0,,,9999,9999,5,0,0,0,0,0,0,0,0,0,0,0
284,1,4,true,智囊,•计略成功率增加15%•计略的战意消耗减少5•围攻致乱率增加15%,•无法习得•无法出生自带•无法出现于生成武将中,502 605 712 ,900 901 902,,,0,,,9999,9999,9,0,0,0,0,0,0,0,0,0,0,0
285,1,4,true,看破,•必然看穿智谋较低的敌方部队的计略•避免被围攻几率增加10%•围攻致乱率增加10%,•无法习得•无法出生自带•无法出现于生成武将中,571 700 711 ,900 901 902,,,0,,,9999,9999,9,0,0,0,0,0,0,0,0,0,0,0
286,1,6,true,洞悉,•被“攻心”时无效•被“扰乱”时无效•伏击成功时必造成敌方混乱•避免被围攻几率增加30%•围攻致乱率增加20%•自身被俘时增加逃跑机率20%,•无法习得•无法出生自带•无法出现于生成武将中,590 591 582 702 713 6131 ,900 901 902,,,0,,,9999,9999,6,0,0,0,0,0,0,0,0,0,0,0
287,1,6,true,運籌帷幄,•斜向计略•必然看穿智谋较低的敌方部队的计略•计略的战意消耗减少5•避免被围攻几率增加20%•围攻致乱率增加15%•仅对主将有效（本条以下）•可施行“驱虎”战法,•无法习得•无法出生自带•无法出现于生成武将中,272 571 605 701 712 281 8565 ,900 901 902,,,0,,,9999,9999,6,0,0,0,0,0,0,0,0,0,0,0
300,1,4,true,步神,•单挑胜利几率提高15%•步戟有效（本条以下）•混乱时防御力不下降•仅对主将有效（本条以下）•暴击几率增加20%•被暴击几率减少20%•部队防御力提高15%•避免被围攻几率增加40%,•无法习得•无法出生自带•无法出现于生成武将中,902 290 609 281 403 408 422 703 ,900 901 902,,,0,,,9999,9999,9,0,0,0,0,0,0,0,0,0,0,0
301,1,4,true,弩神,•单挑胜利几率提高10%•弓弩有效（本条以下）•不会误伤友军部队•散射可以影响到斜向•仅对主将有效（本条以下）•暴击几率增加20%•被暴击几率减少20%•避免被围攻几率增加30%•可施行“穿云”战法,•无法习得•无法出生自带•无法出现于生成武将中,901 291 610 611 281 403 408 702 8552 ,900 901 902,,,0,,,9999,9999,9,0,0,0,0,0,0,0,0,0,0,0
